  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      5.07219     0.661845     -3.12217     -3.85983 
      1        1.231     0.233581      1.45909     0.843674    -0.976511    -0.848746 
      2        0.122    0.0368464     0.141269     0.863599    -0.522963    -0.418535 
      3        1.844     0.250681      2.79993     0.658588     -3.81333     -4.70214 
      4        0.579    0.0975229     0.842259     0.687437     -2.69946     -2.43585 
      5        0.051    0.0155917    0.0839121     0.607779     -2.11087     -1.78877 
      6        0.834     0.110403      1.31984     0.631893     -4.40065     -5.28932 
      7        0.287    0.0495786     0.417947     0.686691     -2.64119     -2.44574 
      8        0.021   0.00745357    0.0430108     0.488249     -2.95306     -2.43207 
      9        0.344    0.0487604     0.530637     0.648278     -3.82762     -4.11986 
     10          0.1     0.020759     0.180132     0.555149      -3.8601     -3.18244 
     11        0.016   0.00396906    0.0200185      0.79926     -1.01246    -0.861643 
     12        0.061   0.00991691     0.112189     0.543725      -5.1618     -4.89178 
     13        0.028   0.00581253    0.0426736     0.656143     -2.52448     -2.09068 
     14        0.003  0.000961484   0.00554759     0.540776     -2.64964      -2.1292 
