          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0207777      3.03883      10.0183       34.927 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0229769      1.40446      5.22308      15.9743 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0196359      1.85884      8.41863      23.7957 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0161098      2.75485      11.3264      27.9344 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0236278      1.73821      3.20755      3.60261 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0218865      1.75451      7.91902      24.1534 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0180086      2.51102      10.7697      28.3042 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0239133      1.62755      7.03498      20.0724 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0201822      2.24356      9.97771      26.8865 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0179604      2.51109      9.55665      22.3954 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0244382      2.12209      2.13975      2.20857 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0215655      2.20908      9.71647       26.549 
          25        0.001          0.8          2.5      12      0.04499   0.00278502     0.017729      2.53765      9.78842      22.5505 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0229669      2.05426      8.62077      19.6086 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0173605      2.50223      9.35093      19.7396 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463     0.017105      2.36656      8.18846      15.7045 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0298719     0.907876     -1.76962     -4.40765 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0277983     0.970564    -0.543056     -1.36593 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0235573      1.12704      2.03273      5.07668 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0184593      1.49031      5.86373      14.4275 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0139964      2.42062      10.3763      25.0475 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0137255       3.0549      11.6374      25.6262 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0308197       1.2213      1.17004      1.27791 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0305928     0.908709     -1.79396     -4.82789 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053     0.026347      1.03693     0.644127      1.72753 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0208886      1.38975      5.16522      13.6037 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957      0.01589      2.17055       9.8117      24.4877 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0143188      2.81518      11.3487       25.958 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0331165     0.831609     -3.54371      -8.8797 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0295652      1.01335     0.238746     0.658934 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0238043      1.34178      4.76215      13.2602 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0181434      1.99412      9.17393       24.182 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0149674       2.6237      10.8655      25.6967 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0335767      1.08558     0.370632     0.390605 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0315829     0.999274   -0.0133472   -0.0352183 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0258511      1.23979      3.58356      10.0687 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0197246      1.87887      8.65194      23.3883 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268     0.015467      2.52732      10.4866      25.0932 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0331475     0.944867     -1.01682     -2.42284 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0284319      1.17122      2.73216      7.30948 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0218304      1.69076      7.47652      19.0903 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0161352      2.46356      9.94849      23.9169 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0297471      1.11137      1.79722      4.13964 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0231427       1.6731       7.2954       17.745 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0165439      2.32351      9.28943      20.1139 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0243057      1.55354      6.25876      13.2422 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0168972      2.20629      8.72708      17.5551 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0171665      2.05749      6.48677      9.69585 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0355213     0.848506     -2.76785     -4.66468 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0342831     0.865149     -2.45533     -4.18981 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153     0.030951     0.882685     -2.11685     -3.65124 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0267322     0.952037    -0.804757     -1.38403 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0224629     0.963811    -0.594211     -1.00931 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0183251      1.24583      2.99114      4.69687 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0139342      1.73674      5.90717      8.34996 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0372844     0.976013       -0.153     -0.17003 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0379527     0.850006      -2.8675     -5.47977 
