  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      3.72377     0.901506    -0.667635    -0.825373 
      1        1.231     0.233581      1.08282      1.13685     0.634392     0.551389 
      2        0.122    0.0368464     0.106509      1.14544     0.420424     0.336471 
      3        1.844     0.250681      2.06276     0.893947    -0.872669     -1.07607 
      4        0.579    0.0975229     0.625954     0.924988    -0.481467     -0.43445 
      5        0.051    0.0155917    0.0634279     0.804062    -0.797084    -0.675454 
      6        0.834     0.110403     0.978406     0.852407     -1.30799     -1.57213 
      7        0.287    0.0495786     0.312175     0.919356    -0.507783    -0.470206 
      8        0.021   0.00745357    0.0325781     0.644605     -1.55336     -1.27931 
      9        0.344    0.0487604     0.399752     0.860534     -1.14339     -1.23068 
     10          0.1     0.020759     0.136147       0.7345     -1.74127     -1.43558 
     11        0.016   0.00396906    0.0153313      1.04362     0.168472     0.143377 
     12        0.061   0.00991691     0.089088     0.684716     -2.83233     -2.68417 
     13        0.028   0.00581253    0.0336724     0.831542    -0.975892    -0.808196 
     14        0.003  0.000961484   0.00439507     0.682583     -1.45095     -1.16596 
