          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0589372      0.91869    -0.590569     -1.25507 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0732337      0.89325    -0.581029     -1.19507 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0417698     0.931198    -0.587708     -1.52317 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694     0.043914      0.82534     -1.78085     -4.74986 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0462728     0.788044     -2.05226     -4.63318 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0514028      0.75669     -2.56123     -6.30965 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0632565     0.737173     -2.34805     -5.07781 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0717704     0.720548     -1.93556     -3.82962 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0342719      0.86409     -1.00734     -3.49526 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0329005     0.819502     -1.92077     -5.63087 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0333012     0.749913     -2.89356     -7.39444 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0352562     0.758476     -2.25913     -5.13601 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0399733     0.774017     -2.17428     -5.02932 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0508195     0.756678     -2.01167     -4.16112 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0585445     0.611534     -3.04637     -5.97681 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0266092      1.12953       1.0791      3.33703 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0224304      1.09365     0.805756      2.49174 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0212953      1.01703     0.145425     0.424408 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417     0.021737     0.986201   -0.0972565    -0.226928 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0233053      1.10949     0.246609     0.435275 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0269041      1.10072     0.264342     0.476361 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963     0.017939      2.21752      2.88154      5.81986 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0148761      2.57009      5.09604      24.3585 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0121291      2.95176      5.80821      19.8108 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0114967      2.90265      1.70254      2.97642 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0125803      1.65132     0.763276      1.36008 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0845772     0.938066    -0.211406    -0.388368 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084    0.0529079     0.747695     -2.02845      -4.1549 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914    0.0569236     0.784244      -1.5763       -3.199 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0625743      0.88295    -0.899132     -1.94238 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724     0.074684     0.736824     -1.72831     -3.48088 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788     0.041376     0.838577     -1.02159     -2.86956 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0411613     0.805368     -1.96265     -4.88244 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0412686     0.717592     -3.14708     -7.09818 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0429101     0.808597     -1.53179     -3.19878 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978    0.0473326     0.859111     -1.14586     -2.56115 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472    0.0579768     0.804304     -1.56825     -3.19483 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271    0.0656787     0.797473     -1.26357     -2.50968 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0313315     0.973396    -0.208819    -0.504739 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0280787     0.991713   -0.0658127    -0.165029 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228     0.026362     0.947311    -0.413111     -1.01127 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0263969     0.778614     -1.98418      -4.3235 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0276761     0.798524     -1.24679     -2.57459 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568    0.0309859     0.748889    -0.645353     -1.13551 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064      0.03877     0.963348    -0.050024   -0.0876315 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803     0.021047      2.53057      1.40181      2.50281 
