          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0355047       1.2618      0.93018      1.20753 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0279152      2.29265      2.24354      3.04699 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0166058      1.31881      1.48036      1.91565 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0183469       1.0356     0.275018     0.381603 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0196879      1.16823      1.31677      2.02482 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0212483      1.18127       1.6746      3.77889 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988     0.023608       1.1098      1.08915      2.57512 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0263312       1.2039       1.8511      4.25272 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0234406      1.71924      3.94913      7.50284 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0288244     0.700794     -1.31063     -1.38373 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0288638      1.22991      1.46943      1.95318 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0279989       1.1679      1.24343      1.83697 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0225225      1.71828      3.90795      9.07888 
