          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0803054     0.557871     -3.55302     -4.61241 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839     0.107163     0.597223      -2.6836     -3.64465 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0165302      1.32485      1.50151      1.94301 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0181521      1.04671      0.35706     0.495441 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0192561      1.19443      1.48845      2.28882 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0202924      1.23692      2.09023      4.71679 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0230611      1.13611      1.31894      3.11843 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0316326      1.00213    0.0232377    0.0533863 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0674051     0.597877     -6.34909     -12.0625 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0372818     0.541819     -2.59588     -2.74066 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0418782     0.847696      -1.4123     -1.87725 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0481702     0.678843      -4.0918     -6.04497 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0634104      0.61031     -5.96923     -13.8676 
