          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0167007      2.73042      2.89281      3.73237 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0187046      2.66245      2.78811      3.41936 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0241991     0.917388    -0.699292    -0.918126 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0247865      0.91582    -0.789933     -1.12725 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0246427      1.03885     0.342148     0.522348 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458    0.0230334      1.25036      2.16415      4.81117 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0188281      1.49245      3.56781      7.77506 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692    0.0149549      1.89904      4.94866      9.85861 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216     0.024715      1.53348      2.79215      3.73148 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0235737      1.48471      2.71791      3.75571 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0219239      1.44135      2.54598      3.67222 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0182274      2.26033      5.15577      11.6113 
