          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
         8.5       0.0003         0.43       3.3567       0      0.03764   0.00738157     0.040136     0.937813    -0.338133    -0.365535 
         8.5       0.0003         0.67      2.04611       1      0.06919   0.00623517    0.0351692      1.96735      5.45627      7.79594 
          12       0.0003         0.67      2.43114       2      0.06314   0.00422849     0.033403      1.89025      7.03251      24.5176 
         8.5        0.001         0.13      7.54219       3      0.03321    0.0033923    0.0200375      1.65739      3.88306      4.95301 
         8.5        0.001          0.2      5.83095       4      0.03233   0.00245878    0.0241804      1.33703      3.31449      4.81127 
         8.5        0.001         0.32         4.25       5      0.03332   0.00242573    0.0294928      1.12977      1.57776      2.35545 
         8.5        0.001          0.5      2.91548       6      0.03871   0.00292152     0.033325      1.16159      1.84322      2.65082 
          12        0.001          0.2       6.9282       7      0.03227   0.00177925     0.026554      1.21526      3.21262      9.82551 
          12        0.001         0.32      5.04975       8       0.0365   0.00200318     0.031496      1.15888        2.498      7.06074 
          12        0.001          0.5       3.4641       9      0.04438   0.00249596    0.0333446      1.33095      4.42133      10.9044 
          15        0.001          0.2      7.74597      10      0.04107   0.00543786    0.0272257       1.5085       2.5459      2.85946 
          15        0.001         0.32      5.64579      11       0.0384    0.0020853    0.0325474      1.17982      2.80661      8.56032 
          15        0.001          0.5      3.87298      12      0.04522   0.00252666    0.0333117      1.35748      4.71307      12.3866 
          20        0.001         0.32       6.5192      13      0.03892   0.00213316    0.0334599      1.16318      2.55962      7.30318 
          20        0.001          0.5      4.47214      14      0.04528   0.00251538    0.0332015       1.3638      4.80186      12.9394 
          20        0.001          0.8      2.23607      15       0.0451   0.00283987    0.0144551      3.12001       10.791      25.2879 
          25        0.001         0.32      7.28869      16      0.05186    0.0128154    0.0336623       1.5406      1.41999      1.46565 
          25        0.001          0.5            5      17      0.04764   0.00268353     0.033045      1.44167      5.43872      14.8606 
          25        0.001          0.8          2.5      18      0.04499   0.00278502    0.0137217      3.27874      11.2273      25.8654 
          35        0.001          0.5      5.91608      19      0.04718    0.0028087    0.0326537      1.44486       5.1719      11.7639 
          35        0.001          0.8      2.95804      20      0.04344   0.00278897    0.0127582      3.40486      11.0011      23.2231 
          45        0.001          0.8       3.3541      21      0.04048   0.00285463    0.0121237      3.33892      9.93345      19.0511 
         8.5        0.003        0.043      13.7541      22      0.02783   0.00300886      0.01938      1.43601      2.80837      3.31899 
         8.5        0.003        0.067      10.8796      23       0.0246   0.00197092    0.0200791      1.22516      2.29381      3.03566 
         8.5        0.003         0.11      8.29293      24      0.02097   0.00165025    0.0194489      1.07821     0.921734      1.24674 
         8.5        0.003         0.17      6.44205      25      0.02308   0.00172174    0.0198166      1.16468      1.89543      2.63478 
         8.5        0.003         0.27       4.7939      26      0.02265   0.00166057    0.0224995      1.00669    0.0906428     0.128081 
         8.5        0.003         0.43       3.3567      27      0.03263    0.0023259    0.0265576      1.22865      2.61075      3.77907 
         8.5        0.003         0.67      2.04611      28      0.04341   0.00365496     0.022491       1.9301      5.72345      7.45711 
          12        0.003        0.067      12.9269      29      0.02712   0.00155509    0.0230011      1.17907      2.64864      6.59706 
          12        0.003         0.11      9.85347      30      0.02698   0.00150678    0.0230071      1.17268      2.63667      6.63193 
          12        0.003         0.17       7.6543      31      0.02655   0.00147227    0.0229574      1.15649      2.44018      6.09425 
          12        0.003         0.27        5.696      32      0.02751    0.0015435    0.0247581      1.11115      1.78286      4.38665 
          12        0.003         0.43      3.98836      33      0.03388   0.00191624    0.0272538      1.24313       3.4579      8.34706 
          12        0.003         0.67      2.43114      34      0.04193   0.00242361    0.0214295      1.95664      8.45864      18.6264 
          15        0.003        0.067      14.4527      35      0.03764    0.0058291    0.0236793      1.58957        2.395      2.61581 
          15        0.003         0.11      11.0165      36       0.0278    0.0015568    0.0249837      1.11272        1.809      4.86836 
          15        0.003         0.17      8.55776      37      0.02732   0.00151053    0.0248417      1.09977      1.64072      4.40035 
          15        0.003         0.27      6.36832      38      0.02903    0.0015762    0.0261089      1.11188      1.85328      4.88101 
          15        0.003         0.43      4.45912      39      0.03449    0.0018957     0.027648      1.24747      3.60923      9.00781 
          15        0.003         0.67       2.7181      40      0.04031   0.00229023    0.0207734      1.94046      8.53039      19.5116 
          20        0.003         0.11      12.7208      41      0.02754   0.00157364    0.0267813      1.02833     0.482134      1.20811 
          20        0.003         0.17      9.88165      42      0.02996   0.00165378    0.0269906      1.11002      1.79553      4.95563 
          20        0.003         0.27      7.35351      43      0.03194   0.00170842    0.0276926      1.15338      2.48614      6.92264 
          20        0.003         0.43      5.14894      44      0.03618   0.00196608    0.0280834      1.28831      4.11817      10.8553 
          20        0.003         0.67      3.13859      45      0.03927   0.00223667    0.0199699      1.96646      8.62894      20.4072 
          25        0.003         0.11      14.2223      46      0.03645   0.00775255    0.0271902      1.34055      1.19441      1.25878 
          25        0.003         0.17       11.048      47      0.03156   0.00171676    0.0283283      1.11408      1.88245      4.96709 
          25        0.003         0.27      8.22147      48      0.03205   0.00172981    0.0287754       1.1138      1.89301      5.31877 
          25        0.003         0.43      5.75669      49      0.03706   0.00200364    0.0283618      1.30669       4.3412      11.7353 
          25        0.003         0.67      3.50905      50      0.03909   0.00225268     0.019395      2.01547      8.74291      20.9207 
          35        0.003         0.17      13.0722      51      0.03132   0.00179729    0.0294463      1.06363      1.04252      2.48407 
          35        0.003         0.27      9.72778      52       0.0333   0.00178178     0.030129      1.10525      1.77966      4.76122 
          35        0.003         0.43      6.81141      53      0.03691   0.00201692     0.028708       1.2857      4.06657      10.3834 
          35        0.003         0.67      4.15196      54      0.03975   0.00237371     0.018615      2.13537      8.90376      21.4053 
          45        0.003         0.27      11.0303      55      0.03306   0.00184337     0.030805       1.0732      1.22328      2.81766 
          45        0.003         0.43      7.72342      56      0.03872   0.00213522     0.028875      1.34095      4.61075       11.215 
          45        0.003         0.67      4.70788      57      0.03844    0.0023571    0.0180697      2.12732      8.64213      18.7123 
          60        0.003         0.43      8.91823      58      0.03776   0.00214967    0.0289355      1.30497      4.10503      8.68533 
          60        0.003         0.67       5.4362      59      0.03728   0.00233559    0.0174701      2.13393      8.48175      17.0616 
          90        0.003         0.67      6.65795      60      0.03532   0.00279854    0.0166571      2.12042      6.66882      9.96796 
         8.5         0.01        0.013      25.4037      61      0.03654   0.00394361    0.0229672      1.59096      3.44171      4.04683 
         8.5         0.01         0.02      20.4083      62      0.03174   0.00265746    0.0233634      1.35853      3.15211       4.1912 
         8.5         0.01        0.032      16.0351      63      0.03085   0.00240373    0.0216316      1.42616      3.83506      5.17977 
         8.5         0.01         0.05      12.7083      64      0.02431   0.00194267    0.0195203      1.24537      2.46551      3.22819 
         8.5         0.01         0.08      9.88686      65      0.02142   0.00168811    0.0175449      1.22087      2.29553      3.10579 
         8.5         0.01         0.13      7.54219      66      0.01919   0.00155249    0.0165865      1.15697        1.677      2.22292 
         8.5         0.01          0.2      5.83095      67      0.01961   0.00173269    0.0171333      1.14456      1.42942      1.76165 
          12         0.01         0.02      24.2487      68      0.03014   0.00194421    0.0272723      1.10515        1.475      2.48583 
          12         0.01        0.032      19.0526      69      0.02966   0.00188288     0.026193      1.13236      1.84132      3.14206 
          12         0.01         0.05      15.0997      70      0.02732    0.0017153    0.0236976      1.15286      2.11183      3.64257 
          12         0.01         0.08      11.7473      71      0.02545   0.00159322    0.0210951      1.20644      2.73341      4.70093 
          12         0.01         0.13      8.96146      72      0.02165   0.00136807    0.0195323      1.10842      1.54794      2.62928 
          12         0.01          0.2       6.9282      73      0.02283   0.00150609    0.0194711      1.17251      2.23023      3.50205 
          12         0.01         0.32      5.04975      74       0.0242   0.00173786    0.0211454      1.14446      1.75766      2.48451 
          15         0.01         0.02      27.1109      75      0.03639   0.00584544    0.0284121      1.28079      1.36481      1.51672 
          15         0.01        0.032      21.3014      76      0.03226   0.00198524     0.028811      1.11971      1.73733      3.32001 
          15         0.01         0.05      16.8819      77      0.03067   0.00186281    0.0263299      1.16484      2.32989      4.50663 
          15         0.01         0.08      13.1339      78      0.02573   0.00156213    0.0233676       1.1011      1.51229      2.90344 
