          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849      0.11515     0.548326        -12.3     -42.8818 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0249091      1.29551      4.13709      12.6529 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0346622      1.05302     0.917453      2.59323 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596     0.060103     0.738399     -6.29938     -15.5362 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0258616      1.58807      2.79676      3.14122 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0368199      1.04292     0.757749      2.31118 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0617348     0.732488     -6.53622      -17.178 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0388942      1.00066    0.0121173    0.0345735 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0634565      0.71356     -7.22612     -19.4719 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987     0.104827     0.430232     -21.0317     -49.2864 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0396814      1.30691     0.950312     0.980873 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0644486     0.739193     -6.26362     -17.1146 
          25        0.001          0.8          2.5      12      0.04499   0.00278502     0.101436     0.443531     -20.2677     -46.6927 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0653166     0.722328      -6.4573     -14.6877 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0968572     0.448495      -19.153     -40.4316 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0937672     0.431707      -18.667     -35.8009 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0242462      1.11853      1.84802      4.60294 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0232069      1.16259      2.50408      6.29844 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0221543      1.19841      2.98567      7.45659 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0251768      1.09267      1.51163      3.71931 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0395778     0.856035     -2.97344     -7.17762 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361     0.073833     0.567903     -13.1634     -28.9866 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0250872      1.50037      2.15348      2.35202 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0255413      1.08843      1.45086      3.90455 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053     0.024524      1.11401      1.85102      4.96437 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0273489      1.06147      1.06655        2.809 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957     0.041328     0.834542     -3.60714     -9.00258 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0733986     0.549193     -14.4477     -33.0463 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0277085     0.993918    -0.107098    -0.268362 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0272774      1.09834      1.62208      4.47692 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0299526      1.06635      1.16327      3.23912 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0433525     0.834553     -3.64814     -9.61632 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0726312     0.540677     -14.9156      -35.275 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0282458      1.29046      1.05826      1.11529 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0290354      1.08695      1.47059      3.88033 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0317813      1.00846     0.155355     0.436499 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0447376     0.828386     -3.83182     -10.3583 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0719534     0.543269     -14.5885     -34.9086 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0305837      1.02407     0.409647     0.976095 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0341508     0.975087    -0.477493     -1.27746 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0465895     0.792238     -4.79915      -12.254 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0709143     0.560536     -13.1289     -31.5629 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0354537     0.932483     -1.29855     -2.99103 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0477552     0.810802      -4.2315     -10.2925 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0700894     0.548442     -13.4273     -29.0734 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967     0.048793     0.773881     -5.13242     -10.8591 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0690716     0.539729     -13.6119     -27.3811 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0674935      0.52331     -11.4965      -17.184 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0297722      1.01235     0.189155     0.318786 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0284457      1.04269     0.644892      1.10045 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0254243      1.07456      1.10519      1.90627 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0219857      1.15757      2.17442      3.73957 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0194028      1.11582      1.64264      2.79014 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0188145      1.21342      2.66615      4.18655 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0233165      1.03789     0.508362     0.718584 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0311677      1.16756     0.893403     0.992847 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0314608       1.0254     0.402589     0.769344 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0284484      1.07809      1.19262      2.30685 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0246109      1.04547     0.716378      1.37537 
          15         0.01         0.13      10.0192      59      0.02381   0.00142064    0.0216186      1.10137      1.54257      3.06794 
          15         0.01          0.2      7.74597      60      0.02299   0.00138284    0.0207246      1.10931      1.63821      3.21909 
