          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0553   0.00812609    0.0362133      1.52706      2.34881       3.2931 
        11.5       0.0005        0.699      2.22533       1       0.0579   0.00846113    0.0280716      2.06258      3.52534      5.03788 
        11.5        0.003        0.089      10.8496       2       0.0271   0.00238126    0.0227119      1.19321      1.84277      6.20947 
        11.5        0.003        0.101      10.1174       3       0.0275   0.00241406     0.022671        1.213      2.00037      6.87177 
        11.5        0.003        0.117      9.31615       4       0.0268   0.00235505    0.0225212      1.18999      1.81684      6.37092 
        11.5        0.003        0.155      7.91793       5       0.0267     0.002342    0.0224617      1.18869      1.80969      7.17104 
        11.5        0.003        0.244      5.96918       6        0.027   0.00238121    0.0238899      1.13019      1.30611      5.20374 
        11.5        0.003        0.361      4.51176       7       0.0313   0.00284761     0.026399      1.18565      1.72108      6.12745 
          44        0.003        0.341      9.22129       8       0.0377   0.00335382    0.0303918      1.24047      2.17908      6.63739 
          44        0.003        0.386      8.36598       9       0.0389   0.00352212    0.0297781      1.30633       2.5899      8.19899 
          44        0.003        0.446      7.39288      10        0.041    0.0037662    0.0284495      1.44115      3.33241      11.7388 
          44        0.003        0.592      5.50675      11       0.0404   0.00400857     0.022603      1.78737      4.43975       19.281 
