          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0553   0.00812609    0.0826391     0.669174     -3.36437     -4.71693 
        11.5       0.0005        0.699      2.22533       1       0.0579   0.00846113     0.108062     0.535802     -5.92855     -8.47218 
        11.5        0.003        0.089      10.8496       2       0.0271   0.00238126    0.0233302      1.16158      1.58311      5.33451 
        11.5        0.003        0.101      10.1174       3       0.0275   0.00241406    0.0230151      1.19487      1.85782      6.38206 
        11.5        0.003        0.117      9.31615       4       0.0268   0.00235505    0.0224838      1.19197      1.83275      6.42671 
        11.5        0.003        0.155      7.91793       5       0.0267     0.002342    0.0217257      1.22896      2.12396      8.41638 
        11.5        0.003        0.244      5.96918       6        0.027   0.00238121    0.0234381      1.15197      1.49585      5.95968 
        11.5        0.003        0.361      4.51176       7       0.0313   0.00284761    0.0317486     0.985869    -0.157548     -0.56091 
          44        0.003        0.341      9.22129       8       0.0377   0.00335382    0.0399766     0.943051    -0.678812     -2.06763 
          44        0.003        0.386      8.36598       9       0.0389   0.00352212    0.0436404     0.891376     -1.34589     -4.26076 
          44        0.003        0.446      7.39288      10        0.041    0.0037662    0.0492048     0.833253     -2.17853     -7.67411 
          44        0.003        0.592      5.50675      11       0.0404   0.00400857    0.0637261     0.633963     -5.81907     -25.2712 
