  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357        2.242      1.49732      2.02964      2.50917 
      1        1.231     0.233581     0.650126      1.89348      2.48682      2.16145 
      2        0.122    0.0368464     0.063525       1.9205        1.587       1.2701 
      3        1.844     0.250681      1.24064      1.48633      2.40689      2.96788 
      4        0.579    0.0975229     0.375836      1.54056      2.08324       1.8798 
      5        0.051    0.0155917    0.0377803      1.34991     0.847868     0.718489 
      6        0.834     0.110403     0.588042      1.41827      2.22783      2.67772 
      7        0.287    0.0495786     0.187222      1.53294      2.01252      1.86359 
      8        0.021   0.00745357     0.019405       1.0822     0.213994     0.176241 
      9        0.344    0.0487604      0.23954      1.43609      2.14231      2.30587 
     10          0.1     0.020759    0.0814357      1.22796     0.894277     0.737284 
     11        0.016   0.00396906   0.00909004      1.76017      1.74096      1.48162 
     12        0.061   0.00991691     0.052614      1.15939     0.845626     0.801391 
     13        0.028   0.00581253     0.019864      1.40959      1.39973      1.15921 
     14        0.003  0.000961484   0.00257358      1.16569     0.443499     0.356387 
