          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0399503      1.35531      1.74929      3.71756 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0470908      1.38915      1.36197      2.80133 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0283194      1.37348      2.16295      5.60573 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0291801      1.24208      1.64013      4.37451 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0302825      1.20416      1.29367      2.92059 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0328476      1.18414      1.23864      3.05142 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0388326      1.20082      1.10139      2.38182 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0431052      1.19972     0.830801      1.64379 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0227243      1.30318      1.48999      5.16997 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0216716      1.24412      1.71116      5.01639 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0217518      1.14809      1.11919      2.86006 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0227217      1.17689      1.06634      2.42427 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0251472      1.23035       1.3943      3.22516 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0307003      1.25256       1.2614      2.60919 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0346137      1.03433      0.15917     0.312283 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0228625      1.31464      2.25207      6.96437 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0189683      1.29326      2.13376       6.5985 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0177263       1.2218      1.57642      4.60062 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0175868      1.21893      1.24838      2.91284 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0181683       1.4232      0.74309      1.31158 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0198111      1.49482     0.956262      1.72324 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0370225      1.07448      0.36381      0.73479 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0306674       1.2467      1.65067      7.89005 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0246249       1.4539      2.74234      9.35365 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0223199      1.49512      0.86014      1.50372 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0207557      1.00088    0.0017003   0.00302975 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0534627      1.48401      1.04434      1.91852 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084    0.0338496      1.16867     0.867581      1.77707 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914    0.0358059      1.24678      1.13409      2.30155 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0386693      1.42878      2.03545      4.39714 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724    0.0448353      1.22736     0.896355      1.80529 
