          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0399673      1.12092      0.48361     0.627807 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0430366      1.48711      1.30338      1.77015 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0172147      1.27217      1.31011      1.69533 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0181915      1.04444     0.340457     0.472404 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0188978      1.21707      1.63087      2.50781 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004     0.019691      1.27469       2.3517      5.30681 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0212233      1.23449      2.09116      4.94421 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033     0.024069      1.31705      2.63109      6.04467 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0307536      1.31041      2.23613      4.24837 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0264126     0.764788    -0.944104    -0.996761 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0275395      1.28906      1.76267      2.34297 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0286454      1.14154      1.07242      1.58433 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0296358      1.30585       2.1896      5.08685 
