          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0477114      1.32337      3.64872      12.7206 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0241065      1.33864       4.5882      14.0326 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0281387      1.29714        4.174       11.798 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0342574      1.29549      4.05562      10.0024 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0245192      1.67502      3.04363      3.41849 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0290758      1.32069      4.47139       13.638 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0347387      1.30172      4.14828      10.9022 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0298931      1.30197      4.23172      12.0741 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0352111      1.28596      4.00294      10.7866 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0345319      1.30604      3.72134      8.72072 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0300613      1.72514      1.70098      1.75568 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0354265      1.34476      4.55128      12.4358 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0333794      1.34784      4.16896      9.60443 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0354359      1.33142      4.18133      9.51079 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0317219       1.3694      4.20159      8.86945 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0305403      1.32546      3.48196      6.67797 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0216121      1.25485      3.54184      8.82178 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0211255      1.27713      3.88544      9.77291 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0208283      1.27471      3.88633      9.70598 
          12        0.003         0.27        5.696      19      0.02751    0.0015435      0.02217      1.24087      3.45966      8.51233 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0261428      1.29596      4.03769      9.74661 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0312647      1.34113      4.40057      9.69032 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0222087      1.69483      2.64729      2.89136 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0224797      1.23667      3.41748      9.19707 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0221366      1.23415      3.43151      9.20318 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0232515      1.24852      3.66608      9.65542 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0268066      1.28662      4.05307      10.1155 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0309035      1.30438      4.10722      9.39447 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0237266      1.16072      2.42327      6.07215 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0236362      1.26755      3.82384      10.5537 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0245346      1.30183      4.33465      12.0698 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0275675      1.31242      4.38056      11.5469 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0303974      1.29189      3.96687      9.38155 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0240381      1.51634      1.60101      1.68728 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0245727      1.28435      4.07006      10.7394 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0254167      1.26098      3.83469      10.7743 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0280721      1.32017      4.48577      12.1261 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0299968      1.30314      4.03662      9.65913 
