          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453     0.128803      0.42037     -9.20055     -19.5528 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549     0.144899      0.45146     -5.90736     -12.1504 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992     0.103498     0.375815     -13.2112     -34.2396 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694     0.104229     0.347735      -15.785     -42.1013 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779     0.105281     0.346357     -14.3998     -32.5088 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311     0.109647     0.354738     -14.4889     -35.6937 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055     0.122003     0.382212     -10.6449     -23.0203 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362     0.131361     0.393678     -7.68642      -15.208 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0882565     0.335545     -12.6823     -44.0051 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0825915      0.32645     -17.9931     -52.7481 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0805399      0.31007     -19.3062     -49.3367 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0812757     0.329016     -14.4683      -32.893 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0855238     0.361771     -13.1381     -30.3898 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0971934     0.395644     -9.55599     -19.7664 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547     0.105868     0.338176     -9.38535     -18.4136 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0738781     0.406832     -13.7195     -42.4265 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0615557     0.398517     -14.2021     -43.9188 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0569187     0.380507     -14.1379       -41.26 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0555373     0.385993     -11.0565     -25.7981 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0562238     0.459894     -2.93485     -5.18012 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0594993      0.49772     -2.91527     -5.25349 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0292999      1.35768      1.38267      2.79259 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0246735      1.54956      2.95844       14.141 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577     0.020334       1.7607      3.79512      12.9445 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0192406      1.73441      1.09981      1.92271 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0204707      1.01482    0.0282518    0.0503418 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778     0.168213     0.471657     -3.58685     -6.58932 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084     0.122657     0.322518     -12.6272     -25.8645 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914      0.12668     0.352398     -10.5294     -21.3686 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596     0.131783     0.419248     -9.39527     -20.2964 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724     0.144132     0.381797     -7.83501     -15.7799 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788     0.102569     0.338281     -10.3813     -29.1601 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0990904     0.334543     -16.1544     -40.1869 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0964505     0.307038     -18.0479     -40.7066 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0965358     0.359421     -11.5333     -24.0845 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978     0.100115     0.406173     -10.2153     -22.8327 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472     0.111167     0.419466     -8.92038     -18.1726 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271     0.119635     0.437807     -6.38902     -12.6898 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0836595     0.364549     -13.3182     -32.1917 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567     0.073407     0.379337     -12.8861     -32.3126 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228     0.067619     0.369319     -12.6837     -31.0488 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0654196     0.314172     -15.2335     -33.1937 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0655172     0.337316     -9.70793     -20.0467 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568    0.0681947     0.340276     -3.73147     -6.56558 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064    0.0762532     0.489802     -1.36956     -2.39918 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803    0.0367709      1.44845     0.717575      1.28117 
        26.5       0.0025        0.562      4.54456      46     0.041769   0.00753627    0.0315287      1.32479      1.35881      6.61645 
        26.5       0.0085        0.562      4.54456      47      0.03094   0.00390641    0.0258104      1.19874      1.31311      3.83901 
        26.5        0.025        0.562      4.54456      48     0.030056    0.0181922    0.0237826      1.26378     0.344839     0.606078 
          46         0.05       0.0178      50.3812      49     0.069173    0.0131403     0.150509     0.459595     -6.18977     -12.1142 
          46        0.075       0.0178      50.3812      50     0.048178    0.0166424     0.165429      0.29123     -7.04532      -12.809 
          46        0.016       0.0562       27.794      51     0.036023   0.00654281     0.112289     0.320807     -11.6564     -24.0584 
          46        0.025       0.0562       27.794      52     0.038012   0.00665438     0.111206     0.341816     -10.9994     -22.3901 
          46        0.035       0.0562       27.794      53     0.034918   0.00590858     0.111211     0.313978     -12.9123     -25.7265 
          46         0.05       0.0562       27.794      54     0.043979   0.00721376     0.114395     0.384449     -9.76133     -20.4384 
          46        0.075       0.0562       27.794      55     0.046852    0.0081196     0.124995     0.374831     -9.62398      -19.656 
