          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849     0.021039      3.00109       9.9565      34.7116 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0679234     0.475094     -20.0385     -61.2858 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0523157     0.697688     -7.89527     -22.3164 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0302841      1.46546       5.6475      13.9285 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0692433     0.593126     -5.18095     -5.81905 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0569697     0.674043     -8.90503     -27.1608 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0344944      1.31094      4.24497      11.1563 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0611625     0.636338      -10.427     -29.7507 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538     0.039351      1.15067      2.35708      6.35154 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0165941      2.71783      10.0378      23.5228 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0622104     0.833623    -0.807652    -0.833626 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0424785      1.12151       1.9234      5.25545 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0174677      2.57562      9.88226      22.7667 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0457267      1.03178     0.517443      1.17697 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0183452      2.36793      8.99789      18.9943 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0187415      2.15992      7.61519       14.605 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0834227     0.325091     -36.2054     -90.1782 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0786885     0.342871     -34.3173     -86.3171 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0673424     0.394254     -27.7071     -69.1976 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0513181     0.536068     -15.4247     -37.9518 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0315749        1.073      1.20292      2.90374 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0149046      2.81322      11.1509      24.5548 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0857413     0.438995     -8.25193      -9.0127 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0845024     0.328985     -36.4224     -98.0196 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0731638     0.373409     -30.3495     -81.3964 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0564432     0.514322      -17.392     -45.8056 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0356558     0.967303    -0.614994     -1.53488 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0172077      2.34256      10.0873      23.0728 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0897499     0.306853     -39.5325     -99.0591 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0798518     0.375195     -30.1683      -83.264 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0626133     0.510115     -17.9542     -49.9934 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0405747     0.891688     -2.23527     -5.89206 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0196776      1.99567      8.75966      20.7164 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0907876     0.401487       -7.009     -7.38671 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0840275     0.375591      -30.562     -80.6416 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0669437     0.478761      -20.172     -56.6768 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0440579     0.841166     -3.49258     -9.44129 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0213265      1.83293      7.88547       18.869 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729     0.087206      0.35915     -31.0946     -74.0913 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0723805     0.460069     -21.9334     -58.6795 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0487049     0.757829     -5.84798      -14.932 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0234483      1.69522      6.86758      16.5102 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337     0.075156     0.439885     -22.8364     -52.6004 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0516326     0.749913     -6.04744     -14.7095 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571     0.024745      1.55344       5.8101      12.5803 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0542803     0.695648     -7.68505     -16.2599 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0259431      1.43699      4.85399      9.76411 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0271272      1.30201      2.92753      4.37581 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0930678      0.32385     -32.3669     -54.5482 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288     0.088835     0.333877     -31.4278     -53.6289 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0810558     0.337052     -31.3274      -54.035 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0714085       0.3564     -28.8463     -49.6101 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0626675     0.345474      -29.982     -50.9264 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0515314     0.443031     -19.0569     -29.9243 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786     0.036745     0.658593     -7.21867     -10.2038 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0973623     0.373759     -10.4307     -11.5918 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0964396      0.33451     -32.3284     -61.7793 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0885681     0.346287     -31.0811      -60.119 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0779452     0.330104     -33.4256     -64.1737 
          15         0.01         0.13      10.0192      59      0.02381   0.00142064    0.0683013     0.348602     -31.3178     -62.2866 
          15         0.01          0.2      7.74597      60      0.02299   0.00138284    0.0562827     0.408474     -24.0755     -47.3086 
          15         0.01         0.32      5.64579      61      0.02456   0.00148563    0.0406332     0.604431     -10.8192     -19.9512 
          20         0.01        0.032      24.5967      62      0.03445   0.00225325     0.103674     0.332293     -30.7216     -50.6158 
          20         0.01         0.05      19.4936      63      0.03209   0.00200479    0.0974845     0.329181     -32.6191     -60.6491 
          20         0.01         0.08      15.1658      64      0.02971   0.00185348    0.0861023     0.345055      -30.425     -54.2312 
          20         0.01         0.13      11.5692      65      0.02658   0.00159878    0.0753927     0.352554     -30.5312     -58.0735 
          20         0.01          0.2      8.94427      66      0.02542   0.00156328      0.06218     0.408813     -23.5147     -42.7363 
          20         0.01         0.32       6.5192      67      0.02663   0.00158129    0.0453877     0.586723     -11.8623     -23.2989 
          20         0.01          0.5      4.47214      68       0.0287   0.00179576    0.0273149      1.05071     0.771309      1.32582 
