  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      4.14614     0.809668     -1.43649     -1.77588 
      1        1.231     0.233581      1.14159      1.07832     0.382768     0.332688 
      2        0.122    0.0368464      0.10281      1.18665     0.520798     0.416803 
      3        1.844     0.250681      2.29712     0.802743     -1.80757     -2.22888 
      4        0.579    0.0975229     0.659359     0.878125    -0.824002    -0.743535 
      5        0.051    0.0155917    0.0607142     0.840002    -0.623033    -0.527962 
      6        0.834     0.110403      1.08417     0.769251     -2.26599     -2.72358 
      7        0.287    0.0495786      0.32724     0.877033    -0.811636    -0.751574 
      8        0.021   0.00745357    0.0312681     0.671611     -1.37761     -1.13457 
      9        0.344    0.0487604     0.435009     0.790788     -1.86645     -2.00895 
     10          0.1     0.020759     0.141039     0.709025     -1.97691     -1.62986 
     11        0.016   0.00396906    0.0144671      1.10595     0.386203     0.328674 
     12        0.061   0.00991691    0.0919944     0.663084     -3.12541     -2.96192 
     13        0.028   0.00581253    0.0332697     0.841605    -0.906618    -0.750826 
     14        0.003  0.000961484   0.00397596     0.754535     -1.01505    -0.815677 
