          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0822389     0.658386     -3.46218     -7.35775 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549     0.100642     0.649987     -2.61808     -5.38492 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0579706      0.67096      -3.9008     -10.1097 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0605815     0.598269     -5.65075     -15.0716 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0639274     0.570413     -5.74647     -12.9732 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0710015      0.54782     -6.57479     -16.1971 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0866882     0.537916     -5.65737     -12.2344 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0976824      0.52941     -4.43623     -8.77733 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0476621     0.621332     -3.90318     -13.5432 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0459804      0.58638     -6.15143     -18.0334 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0468136     0.533456     -7.58831     -19.3918 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0496696     0.538378     -6.08306     -13.8295 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461     0.056138     0.551142     -6.06507     -14.0291 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0704063     0.546173     -5.19814     -10.7523 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0803363     0.445652     -5.96537     -11.7037 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0407053     0.738381     -3.33399     -10.3101 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0342983     0.715224      -3.7466     -11.5861 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0326772     0.662787     -4.41817      -12.894 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0332663     0.644406     -3.83549      -8.9493 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0353708     0.731027    -0.919472     -1.62291 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0401196     0.738143     -1.02481     -1.84676 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0443168     0.897628    -0.598555      -1.2089 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0368372      1.03789     0.304539      1.45566 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0299882      1.19387      1.42644      4.86534 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0278107      1.19993     0.432772     0.756583 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0278389     0.746222     -0.65812      -1.1727 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778     0.113528     0.698849     -1.37983     -2.53485 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084     0.069961     0.565444     -4.61978     -9.46273 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914    0.0751258      0.59423     -3.91249     -7.94011 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0829372     0.666166     -3.39889     -7.34256 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724    0.0992218     0.554606     -3.88598     -7.82648 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788    0.0547578     0.633645      -3.0684     -8.61886 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189     0.054272     0.610813     -5.17455     -12.8726 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0548902     0.539513     -6.82534     -15.3944 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0575126     0.603294     -4.25523     -8.88604 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978    0.0637988     0.637378     -3.97521     -8.88515 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472    0.0780472     0.597472     -4.34242     -8.84636 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271    0.0880634     0.594765     -3.38994     -6.73305 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0455069     0.670184      -3.7601     -9.08859 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0398133     0.699414     -3.38474     -8.48743 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228    0.0376572     0.663166     -3.77251     -9.23487 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0378772     0.542621     -5.88209      -12.817 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0397234     0.556347     -3.94053     -8.13713 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568     0.044221     0.524751     -1.74308     -3.06697 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064    0.0544034      0.68652    -0.600371     -1.05172 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803    0.0444879       1.1972     0.381766     0.681611 
        26.5       0.0025        0.562      4.54456      46     0.041769   0.00753627    0.0371819      1.12337     0.608672      2.96381 
        26.5       0.0085        0.562      4.54456      47      0.03094   0.00390641    0.0302508      1.02278     0.176416      0.51577 
        26.5        0.025        0.562      4.54456      48     0.030056    0.0181922    0.0273997      1.09694      0.14601     0.256623 
          46         0.05       0.0178      50.3812      49     0.069173    0.0131403    0.0928462     0.745027     -1.80157     -3.52592 
          46        0.075       0.0178      50.3812      50     0.048178    0.0166424     0.111179     0.433338     -3.78555     -6.88245 
          46        0.016       0.0562       27.794      51     0.036023   0.00654281    0.0607717      0.59276     -3.78257     -7.80709 
          46        0.025       0.0562       27.794      52     0.038012   0.00665438    0.0622662     0.610476     -3.64484     -7.41937 
          46        0.035       0.0562       27.794      53     0.034918   0.00590858    0.0649565      0.53756     -5.08388     -10.1291 
          46         0.05       0.0562       27.794      54     0.043979   0.00721376    0.0712178     0.617528     -3.77595     -7.90614 
