          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0480849     0.948323    -0.248735    -0.320924 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0465284      1.07032     0.293346     0.359762 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0383553     0.578799     -5.65106     -7.41949 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0385515     0.588822     -6.00117     -8.56381 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0381868     0.670388     -4.49866     -6.86799 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458    0.0365428     0.788118      -2.9058     -6.45995 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0337209     0.833312      -2.1629     -4.71345 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692    0.0332927     0.853041     -1.80081     -3.58755 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0406577     0.932173    -0.583989    -0.780453 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0399698      0.87566     -1.18215     -1.63354 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0388347     0.813705     -1.90359     -2.74566 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0347998      1.18391      1.43641      3.23494 
