          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0522573      1.20825      2.57366      8.97263 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0400929     0.804881     -4.39673      -13.447 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0402859     0.906024     -1.88994       -5.342 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0426282       1.0411     0.701858        1.731 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0410754     0.999869 -0.000993271  -0.00111561 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0422518     0.908837     -1.84712     -5.63381 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666     0.043468      1.04031     0.693397      1.82234 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0440681     0.883178     -2.41339     -6.88595 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0443028      1.02206     0.388471       1.0468 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0319181      1.41299      4.64173      10.8776 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0446446      1.16162     0.563026     0.581133 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0447256      1.06516      1.08601       2.9674 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0306723      1.46679      5.14096      11.8437 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0449117      1.05051     0.807606      1.83697 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0289116      1.50251      5.20925      10.9966 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0276776      1.46255      4.48478      8.60126 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509     0.044553     0.608713     -11.2103     -27.9218 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0413535     0.652423     -9.53923     -23.9937 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0371351     0.714957     -7.18966     -17.9559 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0339705      0.80982     -4.18561     -10.2985 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0342669      0.98871    -0.201882    -0.487326 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0344479       1.2172      3.08716      6.79811 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0456444     0.824635     -1.37319     -1.49979 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0442067     0.628863     -10.5388     -28.3618 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0399508     0.683842     -8.36183     -22.4261 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762     0.036232     0.801225     -4.56923     -12.0341 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0354924     0.971757     -0.52878     -1.31971 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0339654       1.1868       2.7703      6.33653 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0467901     0.588586     -12.2329     -30.6527 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378     0.043169     0.694016     -7.98718     -22.0445 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0389089     0.820892     -4.07915     -11.3584 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0368888     0.980787    -0.360495    -0.950247 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667     0.033292      1.17956      2.67271      6.32089 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0473652     0.769553     -1.40795     -1.48382 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0451723     0.698658     -7.92907     -20.9219 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0407497     0.786508     -5.02931     -14.1308 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0378183      0.97995    -0.378438     -1.02301 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0327613      1.19317      2.80938      6.72251 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0468188     0.668962     -8.62343     -20.5476 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0430479     0.773557     -5.47087     -14.6365 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0389883     0.946694     -1.03043     -2.63106 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371     0.031946      1.24429      3.28766      7.90379 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0442364     0.747349       -6.063     -13.9653 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0396686     0.976087    -0.444259     -1.08059 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0313309       1.2269      3.01605      6.53047 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0402103     0.939062     -1.13987     -2.41172 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559     0.030622      1.21743      2.85069      5.73434 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0296106      1.19282      2.04015      3.04943 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421       0.0513     0.587525     -10.8836     -18.3423 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0487954     0.607844     -10.1628      -17.342 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0443515     0.615988      -9.9292     -17.1264 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0391746     0.649655      -8.6144     -14.8151 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0340388     0.636038     -9.05573     -15.3817 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0301891     0.756233     -4.88623     -7.67266 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0280511      0.86271     -2.21602     -3.13241 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0532934     0.682824     -2.89172      -3.2136 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0526211     0.613062     -10.2563     -19.5996 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0481501     0.636966     -9.38374     -18.1506 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0424786     0.605717     -10.7216     -20.5844 
