          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0210842      2.12481      2.37324      3.08086 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0157182      4.07172      3.00188      4.07691 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0628884     0.348236     -11.4612     -14.8312 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0664832     0.285787     -19.9948      -27.744 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0676295     0.340088     -17.7431     -27.2838 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004     0.064883      0.38685     -17.2966     -39.0313 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0530051     0.494292     -11.2632     -26.6301 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0380143     0.833896      -2.1771     -5.00167 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0159311      2.52964      5.70816      10.8448 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0563822     0.358269     -5.49851     -5.80518 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0526827     0.673845      -3.8047     -5.05727 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0466721     0.700633     -3.69556      -5.4596 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0315918        1.225      1.71711      3.98916 
