          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0390164      1.38775      1.86438      3.96215 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0460145      1.42164      1.44197      2.96586 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0277427      1.40203      2.28087      5.91135 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0286099      1.26683       1.7725      4.72759 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0297015      1.22772      1.41526      3.19508 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0322178      1.20728      1.36761      3.36913 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0380694      1.22489      1.20917      2.61491 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0422423      1.22422      0.91408      1.80856 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0223554      1.32469      1.56977      5.44679 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0213436      1.26324      1.81725      5.32741 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0214289      1.16539      1.23138      3.14677 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0223789      1.19492      1.15729      2.63104 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461     0.024748       1.2502       1.4904      3.44745 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0301669      1.27471      1.34819       2.7887 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0339845      1.05348     0.243453     0.477643 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0224381      1.33951      2.38496      7.37531 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0186619      1.31449      2.25128      6.96191 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0174608      1.24038      1.68286      4.91126 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0173299      1.23699      1.33166      3.10715 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347       0.0179      1.44452     0.769014      1.35734 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0195046      1.51831     0.986152      1.77711 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0363497      1.09437     0.452575     0.914068 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0301865      1.26656       1.7556      8.39157 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0243173      1.47229       2.8178      9.61104 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0220731      1.51184     0.879347       1.5373 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0205458      1.01111    0.0212547    0.0378737 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0522029      1.51982      1.09518      2.01192 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084    0.0331299      1.19406     0.976943      2.00108 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914    0.0350639      1.27316      1.22931       2.4948 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0378798      1.45856      2.13237      4.60651 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724     0.043916      1.25305     0.977193       1.9681 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788     0.025675      1.35139      1.37995      3.87617 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189     0.025177      1.31668      1.95325      4.85908 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0251496      1.17751      1.20552      2.71903 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0259793      1.33556       1.6259      3.39531 
