          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0394616      1.13528     0.534217     0.693503 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0422709      1.51404      1.35099       1.8348 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0170055      1.28782      1.36861      1.77103 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0179112      1.06079     0.458467     0.636149 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532     0.018595      1.23689      1.75126      2.69295 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0193901      1.29448      2.48254      5.60206 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0209439      1.25096      2.20855      5.22177 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0238097      1.33139      2.72049      6.25007 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914     0.030361      1.32736       2.3281      4.42309 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0258549     0.781284    -0.859355    -0.907285 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0269022       1.3196      1.90379      2.53054 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078     0.027934      1.17062      1.26058      1.86231 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0288557      1.34116      2.37807      5.52468 
