          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0467881      1.34949      3.86707      13.4819 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0237363      1.35952      4.79623      14.6688 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0277378      1.31589      4.37413      12.3637 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0337793      1.31382      4.24713      10.4748 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0241447      1.70099      3.11249      3.49584 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0285932      1.34298      4.70283      14.3439 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0341472      1.32427       4.3824      11.5175 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316     0.029339      1.32656      4.49145      12.8151 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0344857      1.31301      4.29133      11.5637 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0337537      1.33615      3.99537      9.36289 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0294955      1.75824      1.74513      1.80125 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0346135      1.37634      4.85422      13.2636 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0325807      1.38088      4.45573      10.2651 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0345303      1.36634      4.50377      10.2442 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0309062      1.40554      4.49406      9.48685 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0297198      1.36206      3.76939      7.22922 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0212649      1.27534       3.7651      9.37788 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678     0.020735      1.30118       4.1446      10.4248 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0204839      1.29614      4.12022      10.2901 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0218685      1.25797      3.65499      8.99295 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0258544      1.31042       4.1882      10.1099 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0308251      1.36026      4.58197      10.0898 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0218317       1.7241      2.71196      2.96198 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0220335      1.26172      3.70408      9.96836 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0217301      1.25724      3.70063      9.92497 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0228732      1.26917      3.90613      10.2877 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0264229      1.30531      4.25546      10.6207 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0303929       1.3263      4.33017      9.90442 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0232275      1.18566      2.74046      6.86693 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378     0.023156      1.29383      4.11422      11.3552 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0240611      1.32745      4.61179      12.8415 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0270659      1.33674       4.6357      12.2195 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0298067      1.31749        4.231      10.0062 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0235266      1.54931      1.66699      1.75682 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0240445      1.31257      4.37774      11.5512 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0248745      1.28847      4.14815       11.655 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0274854      1.34835      4.77862      12.9177 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268     0.029351      1.33181       4.3233      10.3451 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0247771      1.26407      3.64045      8.67435 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0258854      1.28644      4.16134       11.133 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0280046        1.318      4.41535       11.274 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0286616      1.38687      4.67134      11.2302 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0263963      1.25245      3.61496      8.32656 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0282959       1.3684      4.88199      11.8747 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0281468       1.3657       4.3669      9.45539 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0285059      1.32464       4.3049      9.10821 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0275578      1.35279      4.16266      8.37345 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0267214      1.32178      3.07251      4.59252 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0245757      1.22641      2.86197      4.82331 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288     0.022989      1.29018      3.54297      6.04577 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153      0.02075      1.31663      3.83024      6.60658 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0186296      1.36611      4.28092      7.36236 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0173454      1.24817      3.14645      5.34445 
