  iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio       Q2_min       Q2_max       Pt_min       Pt_max 
      0        3.357     0.549357      16.3489                       0     0.549357     0.205335            4            6          5.5            7 
      1        1.231     0.233581      4.88214                       0     0.233581     0.252144            4            6            7            9 
      2        0.122    0.0368464     0.473286                       0    0.0368464     0.257772            4            6            9           15 
      3        1.844     0.250681       8.8657                       0     0.250681     0.207993            6           10          5.5            7 
      4        0.579    0.0975229      2.77572                       0    0.0975229     0.208595            6           10            7            9 
      5        0.051    0.0155917     0.280796                       0    0.0155917     0.181626            6           10            9           15 
      6        0.834     0.110403      4.08115                       0     0.110403     0.204354           10           18          5.5            7 
      7        0.287    0.0495786      1.35732                       0    0.0495786     0.211445           10           18            7            9 
      8        0.021   0.00745357     0.141969                       0   0.00745357      0.14792           10           18            9           15 
      9        0.344    0.0487604      1.62527                       0    0.0487604     0.211656           18           34          5.5            7 
     10          0.1     0.020759      0.57397                       0     0.020759     0.174225           18           34            7            9 
     11        0.016   0.00396906    0.0648641                       0   0.00396906      0.24667           18           34            9           15 
     12        0.061   0.00991691     0.341159                       0   0.00991691     0.178802           34          100          5.5            7 
     13        0.028   0.00581253     0.133998                       0   0.00581253     0.208958           34          100            7            9 
     14        0.003  0.000961484    0.0178811                       0  0.000961484     0.167775           34          100            9           15 
