          Q2           xp         beta           mx   iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453     0.133142                       0   0.00811453     0.406672 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549     0.148713                       0    0.0134549     0.439881 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992      0.10115                       0   0.00488992     0.384536 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694     0.102092                       0   0.00430694     0.355014 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779     0.103285                       0     0.004779     0.353051 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311     0.107794                       0   0.00488311     0.360835 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055     0.120316                       0   0.00708055     0.387573 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362     0.129753                       0     0.010362     0.398557 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0855452                       0   0.00462396     0.346179 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0802566                       0   0.00309171     0.335947 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0784089                       0   0.00287819     0.318497 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0792845                       0   0.00376925     0.337279 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0836753                       0   0.00415461     0.369763 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0955097                       0   0.00614687     0.402619 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547     0.104264                       0   0.00746547      0.34338 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415     0.075564                       0   0.00319415     0.397755 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0632706                       0   0.00260699     0.387716 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0584592                       0   0.00249406     0.370481 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0569555                       0   0.00308417     0.376381 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0575528                       0     0.010347     0.449274 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0607348                       0    0.0102513     0.487595 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0242288                       0   0.00757963      1.64185 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0208193                       0   0.00458334      1.83642 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0172978                       0   0.00407577      2.06974 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0165466                       0    0.0128481      2.01678 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0181549                       0     0.010735      1.14426 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778     0.173239                       0    0.0247778     0.457974 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084     0.121708                       0   0.00658084     0.325032 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914     0.126042                       0    0.0077914     0.354183 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596     0.131296                       0   0.00814596     0.420806 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724     0.143731                       0    0.0113724      0.38286 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788     0.100696                       0   0.00653788     0.344571 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0979037                       0   0.00408189     0.338598 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0954411                       0   0.00370329     0.310286 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0956136                       0   0.00536178     0.362888 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978    0.0992686                       0   0.00581978     0.409636 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472     0.110401                       0   0.00723472     0.422379 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271     0.118906                       0    0.0105271     0.440493 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0840271                       0   0.00399163     0.362954 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0751145                       0   0.00353567     0.370714 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228    0.0691943                       0   0.00336228     0.360911 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0668779                       0   0.00294525     0.307321 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234     0.066886                       0   0.00447234     0.330413 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568    0.0694684                       0    0.0120568     0.334037 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064    0.0774149                       0    0.0284064     0.482453 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803    0.0317601                       0    0.0229803      1.67698 
        26.5       0.0025        0.562      4.54456      46     0.041769   0.00753627    0.0283203                       0   0.00753627      1.47488 
        26.5       0.0085        0.562      4.54456      47      0.03094   0.00390641    0.0233312                       0   0.00390641      1.32612 
        26.5        0.025        0.562      4.54456      48     0.030056    0.0181922    0.0217654                       0    0.0181922       1.3809 
          46         0.05       0.0178      50.3812      49     0.069173    0.0131403     0.151197                       0    0.0131403     0.457504 
          46        0.075       0.0178      50.3812      50     0.048178    0.0166424     0.166324                       0    0.0166424     0.289663 
          46        0.016       0.0562       27.794      51     0.036023   0.00654281     0.111794                       0   0.00654281     0.322226 
          46        0.025       0.0562       27.794      52     0.038012   0.00665438     0.111138                       0   0.00665438     0.342025 
          46        0.035       0.0562       27.794      53     0.034918   0.00590858     0.111252                       0   0.00590858     0.313865 
          46         0.05       0.0562       27.794      54     0.043979   0.00721376     0.114478                       0   0.00721376      0.38417 
          46        0.075       0.0562       27.794      55     0.046852    0.0081196     0.125091                       0    0.0081196     0.374543 
          46         0.09       0.0562       27.794      56     0.059007    0.0103727      0.13341                       0    0.0103727     0.442299 
          46       0.0085        0.178      14.5749      57     0.026741   0.00407298    0.0854246                       0   0.00407298     0.313036 
          46        0.016        0.178      14.5749      58     0.029393   0.00405964    0.0790768                       0   0.00405964     0.371702 
          46        0.025        0.178      14.5749      59     0.029835   0.00514288    0.0761092                       0   0.00514288     0.392003 
          46        0.035        0.178      14.5749      60     0.028509    0.0045173    0.0756027                       0    0.0045173      0.37709 
          46         0.05        0.178      14.5749      61     0.032708   0.00538064    0.0776492                       0   0.00538064     0.421228 
          46        0.075        0.178      14.5749      62     0.044421   0.00927176    0.0849998                       0   0.00927176     0.522601 
          46         0.09        0.178      14.5749      63     0.039117    0.0108588    0.0907969                       0    0.0108588     0.430819 
          46       0.0025        0.562      5.98753      64     0.043316   0.00618707    0.0339803                       0   0.00618707      1.27474 
          46       0.0085        0.562      5.98753      65     0.029835   0.00417978    0.0280987                       0   0.00417978      1.06179 
          46        0.016        0.562      5.98753      66     0.027404    0.0041772    0.0260631                       0    0.0041772      1.05145 
          46        0.025        0.562      5.98753      67     0.023426   0.00586235    0.0255615                       0   0.00586235     0.916457 
          46        0.035        0.562      5.98753      68     0.029835   0.00835849    0.0260402                       0   0.00835849      1.14573 
          46         0.05        0.562      5.98753      69      0.02652    0.0120667    0.0278164                       0    0.0120667     0.953395 
          80        0.035       0.0562      36.6536      70     0.050167    0.0173923     0.124368                       0    0.0173923     0.403375 
          80         0.05       0.0562      36.6536      71     0.051935    0.0143739      0.12828                       0    0.0143739     0.404857 
          80        0.075       0.0562      36.6536      72     0.047736    0.0206119     0.138876                       0    0.0206119     0.343732 
          80       0.0085        0.178      19.2208      73     0.045526    0.0127262    0.0918013                       0    0.0127262     0.495919 
          80        0.016        0.178      19.2208      74     0.029393   0.00713548    0.0874099                       0   0.00713548     0.336266 
          80        0.025        0.178      19.2208      75     0.032266   0.00729811    0.0842214                       0   0.00729811     0.383109 
