          Q2           xp         beta           mx   iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0144289                       0   0.00999004      3.16031 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529   0.00481927                       0    0.0111529      10.3335 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0682805                       0    0.0028588     0.325129 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0704268                       0   0.00264141      0.32232 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0705897                       0   0.00279791     0.362659 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458    0.0675129                       0   0.00266458     0.426585 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0563649                       0   0.00259876     0.498537 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692    0.0400791                       0   0.00271692     0.708598 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0587425                       0   0.00472216     0.645189 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0536994                       0   0.00420408     0.651776 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0461892                       0   0.00380055     0.684142 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0286595                       0    0.0044557      1.43757 
