          Q2           xp         beta           mx   iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0106342                       0   0.00422849      5.93743 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0685982                       0   0.00177925     0.470421 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0546585                       0   0.00200318     0.667783 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0274132                       0   0.00249596      1.61893 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0682494                       0   0.00543786     0.601764 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0584757                       0    0.0020853     0.656683 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0315606                       0   0.00252666       1.4328 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0608768                       0   0.00213316     0.639324 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0362695                       0   0.00251538      1.24843 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0122051                       0   0.00283987      3.69517 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0595771                       0    0.0128154     0.870469 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0389675                       0   0.00268353      1.22256 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0137803                       0   0.00278502      3.26481 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0409981                       0    0.0028087      1.15079 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0155279                       0   0.00278897      2.79755 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0164878                       0   0.00285463      2.45515 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0795915                       0   0.00155509      0.34074 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0774061                       0   0.00150678     0.348551 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0688401                       0   0.00147227     0.385676 
          12        0.003         0.27        5.696      19      0.02751    0.0015435     0.054353                       0    0.0015435     0.506136 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0317058                       0   0.00191624      1.06858 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361   0.00954226                       0   0.00242361      4.39414 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0820644                       0    0.0058291     0.458664 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0835277                       0    0.0015568     0.332824 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0747351                       0   0.00151053     0.365558 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762     0.059313                       0    0.0015762     0.489438 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0357281                       0    0.0018957     0.965348 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0120319                       0   0.00229023      3.35027 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364     0.088712                       0   0.00157364     0.310443 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0813133                       0   0.00165378     0.368451 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0651716                       0   0.00170842     0.490091 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0405598                       0   0.00196608     0.892016 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0148476                       0   0.00223667      2.64488 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0888827                       0   0.00775255     0.410091 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0849723                       0   0.00171676     0.371415 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0689989                       0   0.00172981       0.4645 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0438255                       0   0.00200364     0.845625 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268     0.016856                       0   0.00225268      2.31905 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0869043                       0   0.00179729     0.360396 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0736545                       0   0.00178178     0.452111 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692     0.048203                       0   0.00201692      0.76572 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0196568                       0   0.00237371       2.0222 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0755075                       0   0.00184337     0.437837 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0508234                       0   0.00213522     0.761854 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0214185                       0    0.0023571      1.79471 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0529389                       0   0.00214967     0.713276 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0230835                       0   0.00233559      1.61501 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0247168                       0   0.00279854      1.42899 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0894193                       0   0.00194421     0.337064 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0844787                       0   0.00188288     0.351095 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0773604                       0    0.0017153     0.353152 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0694428                       0   0.00159322     0.366489 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0627086                       0   0.00136807     0.345248 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0534981                       0   0.00150609     0.426744 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0389392                       0   0.00173786     0.621481 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0943048                       0   0.00584544     0.385876 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0928152                       0   0.00198524     0.347572 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0855905                       0   0.00186281     0.358334 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0765633                       0   0.00156213     0.336062 
          15         0.01         0.13      10.0192      59      0.02381   0.00142064    0.0686919                       0   0.00142064      0.34662 
          15         0.01          0.2      7.74597      60      0.02299   0.00138284    0.0583071                       0   0.00138284     0.394292 
          15         0.01         0.32      5.64579      61      0.02456   0.00148563    0.0427067                       0   0.00148563     0.575086 
          20         0.01        0.032      24.5967      62      0.03445   0.00225325     0.100765                       0   0.00225325     0.341884 
          20         0.01         0.05      19.4936      63      0.03209   0.00200479    0.0953149                       0   0.00200479     0.336673 
          20         0.01         0.08      15.1658      64      0.02971   0.00185348    0.0853849                       0   0.00185348     0.347954 
          20         0.01         0.13      11.5692      65      0.02658   0.00159878    0.0761824                       0   0.00159878     0.348899 
          20         0.01          0.2      8.94427      66      0.02542   0.00156328     0.064227                       0   0.00156328     0.395783 
          20         0.01         0.32       6.5192      67      0.02663   0.00158129    0.0472793                       0   0.00158129     0.563249 
          20         0.01          0.5      4.47214      68       0.0287   0.00179576    0.0258814                       0   0.00179576      1.10891 
          25         0.01        0.032         27.5      69      0.03306   0.00700256     0.102587                       0   0.00700256     0.322263 
          25         0.01         0.05      21.7945      70      0.03307   0.00205513      0.10127                       0   0.00205513     0.326552 
          25         0.01         0.08      16.9558      71      0.03202   0.00196734    0.0915258                       0   0.00196734     0.349847 
          25         0.01         0.13      12.9347      72      0.02889   0.00176584    0.0815477                       0   0.00176584     0.354271 
          25         0.01          0.2           10      73      0.02686   0.00160891    0.0684346                       0   0.00160891     0.392492 
          25         0.01         0.32      7.28869      74      0.02769   0.00168773    0.0504522                       0   0.00168773     0.548837 
          25         0.01          0.5            5      75      0.03028   0.00186216    0.0283424                       0   0.00186216      1.06836 
          25         0.01          0.8          2.5      76      0.02928   0.00259966   0.00964506                       0   0.00259966      3.03575 
          35         0.01         0.05      25.7876      77      0.03551   0.00235279     0.106211                       0   0.00235279     0.334333 
          35         0.01         0.08      20.0624      78      0.03243   0.00208765    0.0997059                       0   0.00208765     0.325257 
          35         0.01         0.13      15.3046      79      0.03161   0.00190816    0.0893114                       0   0.00190816      0.35393 
          35         0.01          0.2      11.8322      80      0.02963   0.00178298    0.0746331                       0   0.00178298     0.397009 
          35         0.01         0.32      8.62409      81      0.02729   0.00173908    0.0549714                       0   0.00173908      0.49644 
          35         0.01          0.5      5.91608      82      0.03171   0.00195602    0.0317242                       0   0.00195602     0.999553 
          35         0.01          0.8      2.95804      83       0.0284   0.00194224    0.0108155                       0   0.00194224      2.62586 
          45         0.01         0.08      22.7486      84      0.03368    0.0022267     0.103793                       0    0.0022267     0.324492 
          45         0.01         0.13      17.3538      85      0.03212   0.00196694    0.0943647                       0   0.00196694     0.340381 
          45         0.01          0.2      13.4164      86      0.02994   0.00183808    0.0788569                       0   0.00183808     0.379675 
          45         0.01         0.32       9.7788      87       0.0291   0.00183168    0.0579907                       0   0.00183168     0.501804 
          45         0.01          0.5       6.7082      88      0.03255   0.00203144    0.0339102                       0   0.00203144      0.95989 
          45         0.01          0.8       3.3541      89      0.02606   0.00181019    0.0115053                       0   0.00181019      2.26505 
          60         0.01         0.13      20.0384      90      0.03316   0.00216228    0.0988711                       0   0.00216228     0.335386 
          60         0.01          0.2      15.4919      91      0.03013    0.0018683    0.0831442                       0    0.0018683     0.362382 
          60         0.01         0.32      11.2916      92      0.03138   0.00191238    0.0611341                       0   0.00191238     0.513298 
          60         0.01          0.5      7.74597      93      0.03225   0.00210714    0.0360677                       0   0.00210714     0.894151 
          60         0.01          0.8      3.87298      94      0.02516   0.00168685    0.0121298                       0   0.00168685      2.07422 
          90         0.01          0.2      18.9737      95      0.03061   0.00225353    0.0875471                       0   0.00225353      0.34964 
          90         0.01         0.32      13.8293      96      0.03095    0.0020427    0.0648592                       0    0.0020427     0.477188 
          90         0.01          0.5      9.48683      97      0.03039   0.00196222    0.0384984                       0   0.00196222     0.789383 
          90         0.01          0.8      4.74342      98      0.02396   0.00165965    0.0127268                       0   0.00165965      1.88264 
         200         0.01         0.32      20.6155      99       0.0321   0.00374182    0.0679949                       0   0.00374182     0.472094 
         200         0.01          0.5      14.1421     100       0.0315   0.00365481    0.0415439                       0   0.00365481     0.758233 
         200         0.01          0.8      7.07107     101       0.0211   0.00261938    0.0131088                       0   0.00261938      1.60961 
         400         0.01          0.8           10     102       0.0196   0.00335813    0.0128646                       0   0.00335813      1.52356 
          12         0.03       0.0067      42.1787     103      0.03331   0.00767562     0.108611                       0   0.00767562     0.306691 
          12         0.03        0.011      32.8468     104      0.03641   0.00650038     0.101193                       0   0.00650038     0.359806 
          12         0.03        0.017      26.3416     105      0.03224   0.00582296    0.0924479                       0   0.00582296     0.348737 
          12         0.03        0.027      20.7953     106      0.03637   0.00648305    0.0834633                       0   0.00648305      0.43576 
