  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      3.46374     0.969184    -0.194299    -0.240205 
      1        1.231     0.233581     0.991742      1.24125       1.0243     0.890286 
      2        0.122    0.0368464    0.0898849      1.35729     0.871596     0.697551 
      3        1.844     0.250681      1.89149     0.974893    -0.189445    -0.233601 
      4        0.579    0.0975229     0.560628      1.03277     0.188388     0.169991 
      5        0.051    0.0155917    0.0529284     0.963565    -0.123683     -0.10481 
      6        0.834     0.110403     0.867476      0.96141    -0.303218     -0.36445 
      7        0.287    0.0495786     0.273856        1.048     0.265113     0.245494 
      8        0.021   0.00745357     0.026829     0.782734    -0.782047    -0.644076 
      9        0.344    0.0487604     0.343253      1.00218    0.0153137    0.0164829 
     10          0.1     0.020759     0.115845     0.863224    -0.763269    -0.629274 
     11        0.016   0.00396906    0.0121835      1.31325     0.961558     0.818324 
     12        0.061   0.00991691    0.0731144     0.834309     -1.22159     -1.15769 
     13        0.028   0.00581253     0.027202      1.02934     0.137288     0.113697 
     14        0.003  0.000961484   0.00334323     0.897336    -0.356981    -0.286863 
