          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453     0.052078      1.03969     0.254729     0.541345 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0612782      1.06752     0.307532     0.632538 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992     0.036032      1.07948     0.585693      1.51795 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0372702     0.972466    -0.238263    -0.635492 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779     0.038744     0.941179    -0.476869     -1.07658 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0421038     0.923811    -0.656927     -1.61835 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0499025     0.934441    -0.462046    -0.999203 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362     0.055463     0.932406    -0.361799    -0.715839 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0290429      1.01966     0.123502     0.428528 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0277572     0.971352    -0.257204    -0.754012 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0278834     0.895623     -1.01119     -2.58407 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0291541     0.917229    -0.640215      -1.4555 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0323138     0.957484    -0.330679    -0.764896 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0395357      0.97264    -0.175977    -0.364006 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0446227     0.802326     -1.18154     -2.31812 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0292697      1.02686     0.246159     0.761229 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0243609      1.00698    0.0652408     0.201752 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0227596     0.951596    -0.441709     -1.28908 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0225844     0.949197    -0.372016    -0.868022 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0233437      1.10766     0.242898     0.428725 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0254817      1.16217     0.403104     0.726418 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963     0.047965     0.829354     -1.07987     -2.18103 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0397238     0.962472    -0.325257     -1.55469 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0318343      1.12464     0.973483      3.32038 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0288257      1.15768     0.353775     0.618478 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0267821     0.775666     -0.55968    -0.997291 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0697998      1.13666     0.384989     0.707254 
