          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301     0.050659     0.884344    -0.586314    -0.761134 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0534619      1.19711     0.655194     0.889831 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0207419      1.05583     0.323833     0.419053 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0221905     0.856221     -1.34351      -1.8642 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0233795     0.983769    -0.150867     -0.23199 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0248365      1.01061     0.114547     0.258486 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0272049     0.963063    -0.422232    -0.998301 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033     0.031056      1.02074      0.22206      0.51016 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914     0.039637      1.01673      0.15531     0.295069 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0332965      0.60667     -1.99025     -2.10125 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0350783      1.01202    0.0933792     0.124121 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0368067     0.888425     -1.08621      -1.6047 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0383711      1.00857    0.0794522     0.184582 
