          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0620076      1.01826     0.267797     0.933627 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0303136      1.06454      1.09957      3.36293 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0361856      1.00869     0.156934     0.443583 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0443075      1.00164    0.0290278    0.0715916 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786     0.030436      1.34939      1.95555       2.1964 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853     0.037285       1.0299     0.534679       1.6308 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0449747      1.00545    0.0970786     0.255135 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316     0.038064      1.02249     0.401292      1.14498 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0455985     0.993014    -0.126634    -0.341235 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0454409     0.992498    -0.120039    -0.281304 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0379861      1.36524      1.08259      1.11741 
          25        0.001          0.5            5      11      0.04764   0.00268353     0.045867      1.03866     0.660708       1.8053 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0436309      1.03115     0.488009      1.12427 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0456582      1.03333     0.541825      1.23243 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0414041      1.04917      0.72997      1.54095 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0398471      1.01588       0.2217     0.425193 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0270489      1.00263    0.0457116     0.113856 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0267587      1.00827     0.146883      0.36945 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0266495     0.996265   -0.0676007     -0.16883 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0285664     0.963019    -0.684431     -1.68401 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0337974      1.00244    0.0431195     0.104086 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0407483        1.029     0.487577      1.07367 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0276803      1.35981      1.70862      1.86614 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0285385     0.974124    -0.474344     -1.27655 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0283652     0.963151    -0.691964     -1.85582 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0299649       0.9688    -0.593131     -1.56214 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0346894     0.994252    -0.105182    -0.262509 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0402581      1.00129    0.0226443    0.0517944 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0300321     0.917018     -1.58366     -3.96828 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0302781     0.989493    -0.192373    -0.530947 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842     0.031605       1.0106     0.196109     0.546063 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0357026      1.01337     0.242815     0.640047 
