          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0399355      1.35581      1.75111      3.72143 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0467883      1.39813      1.38446      2.84757 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0277787      1.40021      2.27351      5.89227 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0286938      1.26313      1.75303      4.67564 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0297626       1.2252      1.40247      3.16622 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0322312      1.20678      1.36486      3.36236 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0380064      1.22693      1.21807      2.63415 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0421359      1.22731     0.924341      1.82886 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0224209      1.32082      1.55562      5.39768 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0214014      1.25982      1.79855      5.27259 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0214513      1.16417       1.2236      3.12687 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0223682      1.19549      1.16012      2.63747 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0246958      1.25285      1.50297      3.47652 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0300543      1.27948       1.3665      2.82658 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0338379      1.05805     0.263095     0.516178 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0225482      1.33296      2.35047      7.26865 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0187573      1.30781      2.21471      6.84881 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0175067      1.23712      1.66446      4.85756 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0173408      1.23622      1.32813      3.09891 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0178834      1.44586     0.770618      1.36017 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0194556      1.52213     0.990934      1.78572 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0365397      1.08868     0.427505     0.863435 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334     0.030274       1.2629       1.7365      8.30027 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0242796      1.47457      2.82705      9.64259 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0219868      1.51777     0.886063      1.54904 
