          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0388694      1.15258     0.593478     0.770435 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0411306      1.55602      1.42188      1.93108 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0160809      1.36186      1.62714      2.10558 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0171793      1.10598     0.766671       1.0638 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0180952      1.27105      1.94997       2.9985 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0192188      1.30601      2.55699      5.77007 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0210132      1.24684      2.17944      5.15294 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0239052      1.32607      2.68754      6.17436 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0303005      1.33001      2.34228      4.45004 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0254411     0.793992    -0.796471    -0.840894 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0267012      1.32953      1.94829       2.5897 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0279124      1.17152      1.26631      1.87077 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0289627       1.3362      2.35222      5.46463 
