          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0470417      1.34221      3.80709      13.2728 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0234666      1.37514      4.94781      15.1324 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0278761      1.30937      4.30511      12.1686 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0339064       1.3089      4.19624      10.3492 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0235591      1.74327      3.22018      3.61679 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0286601      1.33984      4.67074       14.246 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0343263      1.31736      4.31149      11.3312 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0292144      1.33222       4.5499      12.9819 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0346982      1.30497      4.20683       11.336 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0343852      1.31161        3.773      8.84177 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0291613      1.77838       1.7712      1.82816 
          25        0.001          0.5            5      11      0.04764   0.00268353     0.034835      1.36759      4.77168       13.038 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0329468      1.36554      4.32428      9.96226 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0346179      1.36288      4.47257      10.1732 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0311873      1.39287      4.39327      9.27408 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0299633      1.35099      3.68409      7.06564 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0209251      1.29605      3.98364      9.92219 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0206701      1.30526      4.18764       10.533 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0205827      1.28992      4.05315      10.1226 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0220238       1.2491      3.55435      8.74532 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0259361      1.30629      4.14557       10.007 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0309247      1.35588      4.54089      9.99929 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0213763      1.76083      2.79008      3.04731 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0219982      1.26374      3.72673      10.0293 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0218549      1.25006      3.61802      9.70341 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0230371      1.26014      3.80215      10.0138 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0265415      1.29948      4.19293      10.4646 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0305177      1.32087      4.27567      9.77976 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0231035      1.19203      2.81924      7.06435 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0232697      1.28751      4.04547      11.1654 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0242225      1.31861      4.51732      12.5784 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0272228      1.32903      4.55589      12.0091 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0299404       1.3116      4.17119      9.86475 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0231482      1.57463      1.71579      1.80826 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0240826      1.31049      4.35554      11.4926 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981      0.02503      1.28046      4.05826      11.4024 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0276858      1.33859      4.67859      12.6474 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0294103      1.32913      4.29699      10.2822 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0245563      1.27544      3.76329      8.96705 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0259525      1.28311      4.12368      11.0323 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0281947      1.30911      4.32108      11.0333 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0287289      1.38363        4.643      11.1621 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0263412      1.25507      3.64484      8.39538 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522     0.028463      1.36036      4.80372      11.6843 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0282174      1.36228      4.33693      9.39052 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0286226      1.31924      4.25059       8.9933 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0276265      1.34943      4.13322      8.31423 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0267722      1.31928      3.05436       4.5654 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0242936      1.24066      3.00711      5.06791 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0227557      1.30341      3.66689      6.25724 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153     0.020615      1.32525      3.90896      6.74235 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0186314      1.36597      4.27975      7.36034 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0173472      1.24804      3.14516      5.34226 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0172806      1.32113      3.68463      5.78584 
