  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      12.1454       0.2764     -15.9977     -19.7774 
      1        1.231     0.233581      3.57673     0.344169     -10.0424     -8.72851 
      2        0.122    0.0368464     0.357405      0.34135     -6.38882     -5.11307 
      3        1.844     0.250681      6.69869     0.275278      -19.366     -23.8799 
      4        0.579    0.0975229      2.06536     0.280338     -15.2412     -13.7528 
      5        0.051    0.0155917      0.21268     0.239796     -10.3696      -8.7873 
      6        0.834     0.110403      3.16182     0.263772     -21.0848     -25.3427 
      7        0.287    0.0495786       1.0258     0.279782     -14.9016     -13.7988 
      8        0.021   0.00745357     0.108928     0.192788     -11.7967     -9.71551 
      9        0.344    0.0487604      1.27671     0.269443     -19.1284     -20.5888 
     10          0.1     0.020759     0.443042     0.225712     -16.5249     -13.6239 
     11        0.016   0.00396906    0.0508213     0.314829      -8.7732     -7.46634 
     12        0.061   0.00991691     0.271929     0.224323     -21.2696      -20.157 
     13        0.028   0.00581253     0.105561      0.26525     -13.3437     -11.0508 
     14        0.003  0.000961484    0.0141489      0.21203     -11.5955     -9.31793 
