          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453     0.125894     0.430083     -8.84209      -18.791 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549     0.142359     0.459514     -5.71859     -11.7621 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992     0.101359     0.383745     -12.7738      -33.106 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694     0.102346     0.354131     -15.3479     -40.9356 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779     0.103541      0.35218     -14.0355     -31.6866 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311     0.108039     0.360018     -14.1596     -34.8825 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055     0.120542     0.386845     -10.4386     -22.5741 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362      0.12997     0.397893     -7.55213     -14.9423 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0884164     0.334938     -12.7169     -44.1251 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0827585     0.325791     -18.0471     -52.9065 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0806979     0.309463     -19.3611      -49.477 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925     0.081425     0.328413     -14.5079      -32.983 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0856631     0.361182     -13.1717     -30.4674 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0973207     0.395127      -9.5767     -19.8093 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547     0.105989     0.337788     -9.40161     -18.4455 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0773252     0.388696     -14.7987     -45.7638 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0643742     0.381069     -15.2832     -47.2622 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0594248     0.364461     -15.1427     -44.1924 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0578395     0.370629      -11.803     -27.5398 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0583795     0.442913     -3.14318     -5.54784 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0615026     0.481508     -3.11068     -5.60564 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0275172      1.44564      1.61787      3.26762 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334     0.023197      1.64819      3.28059      15.6809 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0191592      1.86866      4.08336      13.9276 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0181975      1.83382      1.18099      2.06464 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0195739      1.06131     0.111794     0.199204 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778     0.164635      0.48191     -3.44242     -6.32399 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084     0.120342      0.32872     -12.2756     -25.1441 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914     0.124616     0.358237     -10.2644     -20.8308 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596     0.129908     0.425302     -9.16501      -19.799 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724      0.14244      0.38633     -7.68629     -15.4804 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788     0.102533     0.338399     -10.3758     -29.1448 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0991861      0.33422     -16.1778     -40.2453 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0965599      0.30669     -18.0774     -40.7732 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0966444     0.359017     -11.5535     -24.1268 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978     0.100219     0.405753     -10.2331     -22.8725 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472     0.111263     0.419105     -8.93362     -18.1996 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271     0.119727     0.437472     -6.39772      -12.707 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0865909     0.352208     -14.0526     -33.9668 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0760871     0.365976     -13.6441     -34.2133 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228    0.0700131     0.356691     -13.3957     -32.7918 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0676211     0.303944      -15.981     -34.8223 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0675791     0.327024      -10.169     -20.9987 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568    0.0701112     0.330974     -3.89043     -6.84527 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064        0.078     0.478833     -1.43105      -2.5069 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803    0.0357814      1.48851     0.760637      1.35805 
