          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0188571      2.37576       2.5961      3.37017 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0138893      4.60786      3.11559      4.23133 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0640874     0.341721     -11.7964     -15.2651 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0684642     0.277517      -20.829     -28.9015 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0701529     0.327855     -18.7463     -28.8265 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0681062     0.368542      -18.698     -42.1936 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988    0.0563766     0.464732     -12.6799     -29.9796 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0396743     0.799006     -2.74944     -6.31656 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0144555      2.78787      6.05381      11.5015 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037     0.057682     0.350196     -5.69603     -6.01372 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0538803     0.658867     -4.06988     -5.40975 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0474589     0.689017     -3.90368     -5.76705 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0309277      1.25131      1.87754      4.36187 
