          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0189396      3.33375       10.453      36.4425 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0719328     0.448613     -22.2919     -68.1778 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0552617     0.660493     -9.36597     -26.4734 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0291045      1.52485      6.12011      15.0941 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786     0.072756      0.56449     -5.82692     -6.54458 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0599668     0.640355     -10.3423     -31.5445 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666     0.033765      1.33926      4.53366       11.915 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0639161     0.608923     -11.7179     -33.4338 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0390794      1.15867      2.46506      6.64248 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0160863      2.80363      10.2166      23.9419 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0645217      0.80376    -0.988009     -1.01978 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0424581      1.12205        1.931      5.27622 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0168701      2.66685      10.0968       23.261 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0458019      1.03009     0.490661      1.11605 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0176963      2.45476      9.23056      19.4855 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463     0.018193      2.22503      7.80731      14.9735 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509     0.084119     0.322401     -36.6532     -91.2934 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678      0.08128     0.331939     -36.0372     -90.6431 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0708116     0.374939     -30.0635     -75.0825 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0544923     0.504842     -17.4812     -43.0117 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0318996      1.06208      1.03346      2.49467 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0135177      3.10185      11.7231       25.815 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0861447     0.436939     -8.32113     -9.08829 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0869604     0.319686     -38.0013     -102.269 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0764857     0.357191     -32.5487     -87.2946 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0596259     0.486869     -19.4112     -51.1236 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0363408     0.949072    -0.976304     -2.43663 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0155573      2.59107       10.808      24.7211 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0919775     0.299421     -40.9481     -102.606 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0829599     0.361138     -32.0477     -88.4511 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0657098     0.486077     -19.7667     -55.0402 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0415686     0.870369     -2.74077     -7.22453 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0178424      2.20094      9.58015      22.6568 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255     0.092771     0.392903     -7.26484     -7.65634 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0870095     0.362719     -32.2989     -85.2248 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0699681     0.458066     -21.9204     -61.5894 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0452288     0.819389     -4.07699     -11.0211 
