  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      16.3489     0.205335     -23.6492     -29.2367 
      1        1.231     0.233581      4.88214     0.252144     -15.6311      -13.586 
      2        0.122    0.0368464     0.473286     0.257772     -9.53381     -7.63005 
      3        1.844     0.250681       8.8657     0.207993     -28.0105     -34.5392 
      4        0.579    0.0975229      2.77572     0.208595     -22.5252     -20.3255 
      5        0.051    0.0155917     0.280796     0.181626     -14.7384     -12.4894 
      6        0.834     0.110403      4.08115     0.204354     -29.4119     -35.3513 
      7        0.287    0.0495786      1.35732     0.211445     -21.5884     -19.9908 
      8        0.021   0.00745357     0.141969      0.14792     -16.2296     -13.3664 
      9        0.344    0.0487604      1.62527     0.211656     -26.2769     -28.2832 
     10          0.1     0.020759      0.57397     0.174225      -22.832     -18.8237 
     11        0.016   0.00396906    0.0648641      0.24667     -12.3113     -10.4774 
     12        0.061   0.00991691     0.341159     0.178802     -28.2506     -26.7728 
     13        0.028   0.00581253     0.133998     0.208958     -18.2361     -15.1024 
     14        0.003  0.000961484    0.0178811     0.167775     -15.4772     -12.4372 
