          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453     0.127791     0.423699     -9.07586     -19.2878 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549     0.144149     0.453808     -5.85163     -12.0357 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992     0.102974     0.377727     -13.1041     -33.9619 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694     0.103881     0.348901     -15.7041     -41.8856 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779     0.104991     0.347316     -14.3389     -32.3715 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311     0.109393     0.355564     -14.4368     -35.5653 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055     0.121778     0.382918     -10.6132     -22.9516 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362     0.131148     0.394317     -7.66587     -15.1674 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0895649     0.330643     -12.9653     -44.9869 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0837887     0.321785     -18.3804     -53.8834 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819     0.081646     0.305869     -19.6905     -50.3187 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0823131     0.324869     -14.7436     -33.5187 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0864887     0.357734     -13.3704     -30.9271 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0980732     0.392095     -9.69912     -20.0625 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547     0.106707     0.335518     -9.49769      -18.634 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0780583     0.385046     -15.0282     -46.4736 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0649617     0.377623     -15.5086     -47.9591 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0599466     0.361288     -15.3519     -44.8029 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0583187     0.367584     -11.9584     -27.9023 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0588281     0.439535     -3.18654     -5.62437 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0619195     0.478266     -3.15135     -5.67893 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0277809      1.43192      1.58307      3.19734 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0234124      1.63303      3.23359      15.4562 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0193303      1.85212      4.04138      13.7844 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0183494      1.81864      1.16917      2.04397 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0197045      1.05428    0.0996266     0.177524 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778     0.166638     0.476117     -3.52326      -6.4725 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084     0.122026     0.324186     -12.5313      -25.668 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914     0.126248     0.353605     -10.4739      -21.256 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596     0.131449     0.420316     -9.35417     -20.2076 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724     0.143855     0.382532     -7.81066     -15.7309 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788     0.103766     0.334378     -10.5644     -29.6746 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189     0.100321     0.330438     -16.4559     -40.9372 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0976094     0.303393     -18.3608     -41.4124 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0976289     0.355397     -11.7371     -24.5102 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978     0.101134     0.402079     -10.3905     -23.2242 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472     0.112098     0.415983     -9.04904     -18.4347 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271     0.120522     0.434583     -6.47332     -12.8572 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163    0.0873506     0.349145      -14.243     -34.4268 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0767062     0.363022     -13.8192     -34.6524 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228    0.0705634     0.353909     -13.5594     -33.1925 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0681265     0.301689     -16.1526     -35.1963 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0680524      0.32475     -10.2748     -21.2173 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568     0.070551     0.328911     -3.92691     -6.90945 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064    0.0784009     0.476385     -1.44516     -2.53162 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803    0.0359669      1.48083     0.752563      1.34364 
        26.5       0.0025        0.562      4.54456      46     0.041769   0.00753627    0.0309095      1.35133      1.44097      7.01652 
        26.5       0.0085        0.562      4.54456      47      0.03094   0.00390641    0.0253214      1.22189      1.43829      4.20499 
