          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0215658      2.11446      2.40581      3.10404 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0146925      3.38949      3.14785      3.86055 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0736007     0.301627     -17.9798     -23.6064 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141     0.075912      0.29903     -20.1453     -28.7479 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0755605     0.338802     -17.8564     -27.2609 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458    0.0709941     0.405668     -15.8352     -35.2034 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0574925      0.48876     -11.3102     -24.6475 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692     0.040193      0.70659     -4.34059     -8.64723 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0624637     0.606752     -5.20179     -6.95176 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0569973     0.614064     -5.23237     -7.23028 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0492038     0.642227     -4.63191     -6.68087 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0313145      1.31568      2.21861      4.99655 
