          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0191678      3.29407       10.399      36.2544 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0726678     0.444076      -22.705     -69.4411 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0557464      0.65475     -9.60793     -27.1573 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0294094      1.50904      5.99796      14.7928 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0735176     0.558642     -5.96697     -6.70188 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0604724        0.635     -10.5848     -32.2842 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0340688      1.32731       4.4134       11.599 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0644442     0.603934     -11.9654     -34.1402 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0393726      1.15004      2.34849      6.32837 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0160783      2.80502      10.2194      23.9485 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0650304     0.797474      -1.0277     -1.06075 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0427032      1.11561      1.83966      5.02665 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0168325      2.67281      10.1103      23.2922 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0460343      1.02489     0.407895     0.927791 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0176341      2.46341      9.25284      19.5325 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0181124      2.23493      7.83555      15.0276 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0852591     0.318089     -37.3863     -93.1195 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0822259     0.328121     -36.6649      -92.222 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0715177     0.371237     -30.5432     -76.2804 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0549617      0.50053     -17.7853       -43.76 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0321876      1.05258     0.883162      2.13187 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0136568      3.07026      11.6657      25.6886 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0873042     0.431136     -8.52006     -9.30555 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0879418     0.316118     -38.6317     -103.965 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053      0.07722     0.353794     -33.0349     -88.5984 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762     0.060113     0.482924     -19.7202     -51.9375 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0366332     0.941495     -1.13057     -2.82164 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0156879      2.56949      10.7509      24.5906 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0929884     0.296166     -41.5904     -104.216 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0837205     0.357857     -32.5076     -89.7204 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0662107     0.482399     -20.0599     -55.8567 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0418571      0.86437      -2.8875     -7.61132 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0179536       2.1873      9.53042      22.5392 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0937716      0.38871     -7.39391     -7.79236 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0877751     0.359555     -32.7449     -86.4015 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0704611     0.454861     -22.2054       -62.39 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364     0.045484     0.814792     -4.20434     -11.3653 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0196778      1.98651      8.61738      20.6203 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0906106     0.345655     -32.9889     -78.6049 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0757145      0.43981     -23.8045     -63.6855 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0502661     0.734293       -6.622     -16.9084 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0220651      1.80149      7.45033      17.9112 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0782465     0.422511     -24.5129     -56.4621 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522     0.053185     0.728025     -6.77446     -16.4779 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0235548      1.63194      6.31505      13.6736 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0557032     0.677878     -8.34698     -17.6604 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0249499      1.49419      5.27923      10.6195 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0262946      1.34324      3.22505      4.82051 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0927664     0.324902     -32.2118     -54.2869 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0892523     0.332316     -31.6495     -54.0071 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0822012     0.332355     -31.9952     -55.1868 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0733315     0.347054     -30.0533     -51.6859 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0657861     0.329097     -32.2616     -54.7984 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0549018     0.415833     -21.2948     -33.4384 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0390389     0.619894     -8.53862     -12.0696 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0966598     0.376475     -10.3106     -11.4582 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524     0.096705     0.333592     -32.4622     -62.0348 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0896424     0.342137     -31.6578     -61.2346 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0798116     0.322384     -34.6204     -66.4675 
          15         0.01         0.13      10.0192      59      0.02381   0.00142064    0.0713714     0.333607     -33.4788     -66.5847 
          15         0.01          0.2      7.74597      60      0.02299   0.00138284    0.0595959     0.385765     -26.4715     -52.0167 
          15         0.01         0.32      5.64579      61      0.02456   0.00148563    0.0430447     0.570569     -12.4424     -22.9445 
          20         0.01        0.032      24.5967      62      0.03445   0.00225325     0.103775     0.331967     -30.7668     -50.6903 
          20         0.01         0.05      19.4936      63      0.03209   0.00200479    0.0985192     0.325723     -33.1352     -61.6087 
          20         0.01         0.08      15.1658      64      0.02971   0.00185348    0.0879373     0.337854      -31.415     -55.9958 
          20         0.01         0.13      11.5692      65      0.02658   0.00159878    0.0784315     0.338895     -32.4319     -61.6888 
          20         0.01          0.2      8.94427      66      0.02542   0.00156328    0.0653919     0.388733     -25.5693     -46.4704 
          20         0.01         0.32       6.5192      67      0.02663   0.00158129    0.0478482     0.556552     -13.4182      -26.355 
          20         0.01          0.5      4.47214      68       0.0287   0.00179576    0.0273544      1.04919       0.7493      1.28799 
          25         0.01        0.032         27.5      69      0.03306   0.00700256     0.105559      0.31319     -10.3532     -11.0782 
          25         0.01         0.05      21.7945      70      0.03307   0.00205513     0.104285     0.317113      -34.652     -66.8722 
