#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-ZEUS-Comb-2012"  # A unique alpos name 
Description                    	"H1 and ZEUS Combined 2012"
Reference                       "Eur Phys J C (2012) 72-2175" 
arXiv                           1207.4864
Inspire                         1123363
Title                           "Combined inclusive diffractive cross sections measured with forward proton spectrometers in deep inelastic ep scattering at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                      ApfelxxDDISCS #ApfelDDISCS #ApfelxxDDISCS  #maral


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################   

#   ColumnType = 4*'Bin','Sigma',6*'Error'
#   ColumnName ='xpom,Q2,Beta,MX,Sigma_reduced,stat,uncor,cor,exp,proc,tot'



Data {{
"xp"	"Q2"	"beta"	"mx"	       "Sigma"	     "dstat" "duncor"	"dcor"	"dexp"	"dproc"	"dtot"
0.05	2.5	0.0018	37.2342435	0.02431		19	5.8	4.7	21	7.6	22
0.075	2.5	0.0018	37.2342435	0.036686	14	6.9	5.3	17	7.6	18
0.09	2.5	0.0018	37.2342435	0.028288	14	9.6	5.1	18	7.9	20
0.0085	2.5	0.0056	21.06961251	0.022321	19	11	7.6	23	9.3	25
0.016	2.5	0.0056	21.06961251	0.020553	12	6.9	5.1	14	3.9	15
0.025	2.5	0.0056	21.06961251	0.021216	16	9.8	5	20	4.6	20
0.035	2.5	0.0056	21.06961251	0.02431		18	11	4.9	22	2.3	22
0.05	2.5	0.0056	21.06961251	0.025857	9.8	6.4	5.3	13	1.5	13
0.075	2.5	0.0056	21.06961251	0.031603	14	11	5.7	19	4.7	19
0.09	2.5	0.0056	21.06961251	0.034034	15	6.4	5.7	17	4.3	17
0.0025	2.5	0.0178	11.74518787	0.021879	14	6.8	4.5	16	8.2	18
0.0085	2.5	0.0178	11.74518787	0.016796	8.3	7.1	4.5	12	1.7	12
0.016	2.5	0.0178	11.74518787	0.016133	8.2	9.5	4.5	13	1.4	13
0.025	2.5	0.0178	11.74518787	0.015691	8.8	9.2	4.5	14	1.4	14
0.035	2.5	0.0178	11.74518787	0.020995	15	29	4.9	33	2.3	33
0.05	2.5	0.0178	11.74518787	0.025194	7.8	7.1	4.5	11	2.2	12
0.075	2.5	0.0178	11.74518787	0.027183	11	7.8	4.9	14	1.7	14
0.0009	2.5	0.0562	6.479505056	0.025194	13	8.6	5.2	16	3.4	17
0.0025	2.5	0.0562	6.479505056	0.016354	9.3	5.7	4.8	12	2.8	12
0.0085	2.5	0.0562	6.479505056	0.014144	9.6	6.7	4.5	13	2.3	13
0.016	2.5	0.0562	6.479505056	0.015028	10	10	4.6	15	4.4	16
0.025	2.5	0.0562	6.479505056	0.013923	14	14	4.9	20	1.9	20
0.0003	2.5	0.178	3.397785134	0.034476	8.8	5.4	4.7	11	2.6	12
0.0009	2.5	0.178	3.397785134	0.022542	5.9	4.3	4.4	8.5	2.2	8.8
0.0025	2.5	0.178	3.397785134	0.015028	8	6.3	4.7	11	2.6	12
0.0085	2.5	0.178	3.397785134	0.016354	9.3	10	4.8	15	3.9	15
0.016	2.5	0.178	3.397785134	0.025636	18	7.5	5	20	2.3	20
0.0003	2.5	0.562	1.395850485	0.047294	16	8.8	5	19	2.3	19
0.0009	2.5	0.562	1.395850485	0.038012	19	23	5	31	2.3	31
0.0025	2.5	0.562	1.395850485	0.02431		21	28	4.9	36	2.3	36
0.05	5.1	0.0018	53.18113701	0.043979	5.9	0	6.6	8.9	1.8	9.1
0.075	5.1	0.0018	53.18113701	0.051272	6.7	0	5.1	8.4	2.1	8.7
0.016	5.1	0.0056	30.09342596	0.029835	3.9	0.6	5.9	7.1	2	7.4
0.025	5.1	0.0056	30.09342596	0.02652		3.4	0.3	5.2	6.2	2	6.6
0.035	5.1	0.0056	30.09342596	0.029614	4	0.6	4.7	6.2	1.5	6.3
0.05	5.1	0.0056	30.09342596	0.032487	3.9	0.6	5.4	6.7	3.4	7.5
