  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      3.60218     0.931936    -0.446302    -0.551747 
      1        1.231     0.233581      1.05051      1.17181     0.772694     0.671596 
      2        0.122    0.0368464    0.0982984      1.24112     0.643255     0.514806 
      3        1.844     0.250681      1.96201      0.93985    -0.470777    -0.580505 
      4        0.579    0.0975229      0.59522      0.97275    -0.166316    -0.150074 
      5        0.051    0.0155917    0.0579591     0.879931    -0.446334    -0.378226 
      6        0.834     0.110403     0.901986     0.924626      -0.6158    -0.740155 
      7        0.287    0.0495786     0.290996     0.986268   -0.0805986   -0.0746342 
      8        0.021   0.00745357    0.0294071     0.714113     -1.12793    -0.928936 
      9        0.344    0.0487604     0.358651     0.959149    -0.300472    -0.323413 
     10          0.1     0.020759     0.123397     0.810392     -1.12708    -0.929216 
     11        0.016   0.00396906    0.0133814      1.19569     0.659744     0.561468 
     12        0.061   0.00991691    0.0765259     0.797116      -1.5656      -1.4837 
     13        0.028   0.00581253    0.0290527     0.963766    -0.181107    -0.149986 
     14        0.003  0.000961484   0.00369306     0.812334    -0.720826    -0.579241 
