          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0478343      1.13193     0.777699      1.65275 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0495646      1.31981      1.17812      2.42317 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0393037     0.989626   -0.0833844    -0.216108 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0393697     0.920607    -0.725727     -1.93565 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0387805     0.940293    -0.484506     -1.09382 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0384238      1.01229    0.0967055     0.238236 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0388925      1.19897      1.09292      2.36351 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0395201      1.30855      1.17679      2.32834 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0325563     0.909623    -0.636324     -2.20792 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171     0.030302     0.889776     -1.08031     -3.16701 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0289887     0.861475      -1.3952     -3.56542 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925     0.028423     0.940822    -0.446245     -1.01452 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0284084      1.08911     0.609348      1.40949 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0293928      1.30828      1.47411      3.04917 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0302717      1.18269     0.740787      1.45339 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0313303     0.959328    -0.398934     -1.23367 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0259865      0.94399    -0.558313     -1.72654 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0237102     0.913448    -0.822823     -2.40132 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0225819     0.949301    -0.371208    -0.866137 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0220974      1.17014     0.363354     0.641335 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0220459      1.34329     0.738253      1.33038 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0437659     0.908926    -0.525876     -1.06211 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0364534      1.04882     0.388283      1.85595 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0292495      1.22402      1.60766      5.48346 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0263197      1.26791     0.548825     0.959469 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0236166     0.879636    -0.264797    -0.471841 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0559623      1.41772     0.943454       1.7332 
