          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
         2.5         0.05       0.0018      37.2342       0      0.02431   0.00909431   0.00985033      2.46794      1.58997      2.99414 
         2.5        0.075       0.0018      37.2342       1     0.036686    0.0112624     0.011634      3.15335      2.22439      4.37517 
         2.5         0.09       0.0018      37.2342       2     0.028288   0.00938454    0.0127886      2.21197      1.65159      3.22772 
         2.5       0.0085       0.0056      21.0696       3     0.022321    0.0094179   0.00546696      4.08289      1.78958      3.43928 
         2.5        0.016       0.0056      21.0696       4     0.020553   0.00525542   0.00604397      3.40058      2.76077      5.09981 
         2.5        0.025       0.0056      21.0696       5     0.021216   0.00734392   0.00646373      3.28231      2.00877      3.70595 
         2.5        0.035       0.0056      21.0696       6      0.02431   0.00923236   0.00704938      3.44853      1.86958      3.36582 
         2.5         0.05       0.0056      21.0696       7     0.025857   0.00581259   0.00809875      3.19271      3.05513      5.86762 
         2.5        0.075       0.0056      21.0696       8     0.031603    0.0104509    0.0100973      3.12984      2.05778      3.82204 
         2.5         0.09       0.0056      21.0696       9     0.034034    0.0101815    0.0113749      2.99201      2.22552      4.08245 
         2.5       0.0025       0.0178      11.7452      10     0.021879   0.00659909   0.00439449      4.97874      2.64954      5.13456 
         2.5       0.0085       0.0178      11.7452      11     0.016796   0.00348467   0.00555374      3.02427       3.2262      6.12812 
         2.5        0.016       0.0178      11.7452      12     0.016133   0.00367075   0.00566312      2.84878      2.85225       5.1713 
         2.5        0.025       0.0178      11.7452      13     0.015691   0.00376679   0.00608668      2.57793      2.54974      4.80786 
         2.5        0.035       0.0178      11.7452      14     0.020995    0.0120118   0.00674013      3.11492      1.18674      2.07955 
         2.5         0.05       0.0178      11.7452      15     0.025194   0.00504723   0.00790748       3.1861      3.42495       6.5052 
         2.5        0.075       0.0178      11.7452      16     0.027183   0.00666255    0.0101073      2.68944      2.56294       4.6584 
         2.5       0.0009       0.0562      6.47951      17     0.025194   0.00724326   0.00684237      3.68206      2.53361      4.67315 
         2.5       0.0025       0.0562      6.47951      18     0.016354   0.00342209   0.00788755      2.07339      2.47406      4.74614 
         2.5       0.0085       0.0562      6.47951      19     0.014144   0.00316456   0.00691278      2.04607      2.28506      4.36717 
         2.5        0.016       0.0562      6.47951      20     0.015028   0.00403669   0.00683132      2.19987      2.03054      3.85675 
         2.5        0.025       0.0562      6.47951      21     0.013923   0.00486234   0.00717577      1.94028      1.38765      2.44765 
         2.5       0.0003        0.178      3.39779      22     0.034476   0.00689908    0.0168068      2.05131      2.56109      4.96387 
         2.5       0.0009        0.178      3.39779      23     0.022542   0.00339772    0.0161888      1.39245      1.86985      3.86045 
         2.5       0.0025        0.178      3.39779      24     0.015028   0.00299634     0.013624      1.10305     0.468567     0.917474 
         2.5       0.0085        0.178      3.39779      25     0.016354   0.00424808    0.0112372      1.45535      1.20451      2.29113 
         2.5        0.016        0.178      3.39779      26     0.025636   0.00891949    0.0105404      2.43218      1.69243      3.01972 
         2.5       0.0003        0.562      1.39585      27     0.047294    0.0155836    0.0415514       1.1382     0.368504     0.664957 
         2.5       0.0009        0.562      1.39585      28     0.038012    0.0202654    0.0340358      1.11682     0.196204     0.350629 
         2.5       0.0025        0.562      1.39585      29      0.02431    0.0150767      0.02818     0.862667     -0.25669    -0.454844 
         5.1         0.05       0.0018      53.1811      30     0.043979   0.00686453    0.0293375      1.49907      2.13292       5.6427 
         5.1        0.075       0.0018      53.1811      31     0.051272   0.00763178    0.0310041      1.65372      2.65573      5.90004 
         5.1        0.016       0.0056      30.0934      32     0.029835   0.00376855    0.0243876      1.22337      1.44549      4.62721 
         5.1        0.025       0.0056      30.0934      33      0.02652   0.00296135     0.025088      1.05708     0.483578      1.58205 
         5.1        0.035       0.0056      30.0934      34     0.029614    0.0032282    0.0250411      1.18261      1.41654      3.81768 
         5.1         0.05       0.0056      30.0934      35     0.032487   0.00407618    0.0251832      1.29003      1.79183      5.69764 
         5.1        0.075       0.0056      30.0934      36      0.03978   0.00616628    0.0260501      1.52706      2.22661      5.90361 
         5.1         0.09       0.0056      30.0934      37     0.049504    0.0119638    0.0267885      1.84796      1.89869      3.64543 
         5.1       0.0085       0.0178      16.7755      38      0.02652   0.00411231    0.0222633       1.1912      1.03512       6.1017 
         5.1        0.016       0.0178      16.7755      39     0.024531   0.00265989    0.0211385      1.16049      1.27542      5.30331 
         5.1        0.025       0.0178      16.7755      40     0.024089   0.00261773    0.0204759      1.17646      1.38023       4.9316 
         5.1        0.035       0.0178      16.7755      41     0.022321   0.00272289    0.0203286      1.09801     0.731733      2.05595 
         5.1         0.05       0.0178      16.7755      42     0.029614   0.00354763    0.0206859      1.43161      2.51665      6.95876 
         5.1        0.075       0.0178      16.7755      43     0.034034   0.00508897    0.0219995      1.54703      2.36482      5.22494 
         5.1       0.0025       0.0562      9.25458      44     0.023647   0.00258997    0.0214828      1.10074     0.835592      3.80013 
         5.1       0.0085       0.0562      9.25458      45     0.019448   0.00214819    0.0186231       1.0443     0.384004      1.56137 
         5.1        0.016       0.0562      9.25458      46     0.019448   0.00215855    0.0172974      1.12433     0.996309      3.44058 
         5.1        0.025       0.0562      9.25458      47     0.018564    0.0023112     0.016835      1.10271     0.748114      2.04517 
         5.1         0.05       0.0562      9.25458      48     0.020995   0.00766999    0.0174603      1.20244     0.460847      0.81666 
         5.1        0.075       0.0562      9.25458      49     0.033813    0.0159015     0.019039      1.77599     0.929095      1.62273 
         5.1       0.0009        0.178      4.85301      50     0.026741   0.00775383    0.0260506       1.0265     0.089039     0.194742 
         5.1       0.0025        0.178      4.85301      51     0.026078     0.003162     0.022386      1.16492      1.16761      8.78008 
         5.1       0.0085        0.178      4.85301      52     0.020995   0.00233668    0.0182635      1.14956      1.16896      4.57413 
         5.1        0.016        0.178      4.85301      53     0.016575   0.00547552    0.0167916     0.987102   -0.0395544   -0.0708642 
         5.1        0.025        0.178      4.85301      54     0.023647   0.00807336    0.0161764      1.46182     0.925341      1.71839 
         5.1        0.035        0.178      4.85301      55     0.014365   0.00622237    0.0160434     0.895384    -0.269736    -0.478592 
         5.1       0.0003        0.562      1.99367      56     0.060775    0.0169467    0.0479329      1.26792     0.757794      1.37479 
         5.1       0.0009        0.562      1.99367      57     0.041327   0.00852379    0.0396219      1.04303     0.200034     0.388118 
         5.1       0.0025        0.562      1.99367      58     0.033813   0.00466717     0.032821      1.03023     0.212557      2.09032 
         5.1       0.0085        0.562      1.99367      59     0.030277    0.0142312    0.0263495      1.14906     0.275981     0.482767 
         8.8        0.075       0.0018      69.8576      60     0.063648    0.0145515    0.0434194      1.46589      1.39014       2.6485 
         8.8        0.025       0.0056      39.5301      61     0.033592   0.00429846    0.0359016     0.935669    -0.537303     -1.35781 
         8.8        0.035       0.0056      39.5301      62     0.037791    0.0047944    0.0373862      1.01083    0.0844383     0.204463 
         8.8         0.05       0.0056      39.5301      63     0.043537   0.00484632    0.0377581      1.15305      1.19243      3.10711 
         8.8        0.075       0.0056      39.5301      64     0.046852   0.00673676    0.0382746       1.2241      1.27323      3.05041 
         8.8         0.09       0.0056      39.5301      65     0.062101    0.0136341    0.0387727      1.60167      1.71103       3.5572 
         8.8       0.0085       0.0178      22.0359      66     0.028288   0.00364674    0.0312721     0.904577    -0.818286     -2.45589 
         8.8        0.016       0.0178      22.0359      67     0.027404   0.00281968    0.0315469     0.868676     -1.46927     -4.78784 
         8.8        0.025       0.0178      22.0359      68     0.029393   0.00307196    0.0305169     0.963171    -0.365861     -1.10751 
         8.8        0.035       0.0178      22.0359      69      0.02873   0.00334183    0.0299522     0.959194    -0.365741    -0.939607 
