          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
           4       0.0005        0.227      3.69068       0       0.0175   0.00485555    0.0218753      0.79999     -0.90109     -1.11322 
           4       0.0005        0.323       2.8955       1       0.0302   0.00599635    0.0326359     0.925361    -0.406231    -0.517727 
        11.5       0.0005         0.57      2.94541       2       0.0448   0.00999301    0.0440478      1.01708    0.0752756    0.0977204 
        11.5       0.0005        0.699      2.22533       3        0.064    0.0160839    0.0480058      1.33317     0.994426      1.35055 
           4        0.003        0.033      10.8265       4        0.012    0.0018735    0.0101866      1.17802     0.967907      1.39012 
           4        0.003        0.041      9.67269       5       0.0132   0.00175242    0.0130514      1.01139    0.0848147     0.120024 
           4        0.003        0.054      8.37103       6       0.0135   0.00148291    0.0149665     0.902016    -0.988911     -1.61842 
           4        0.003        0.085      6.56192       7       0.0188   0.00251428    0.0161354      1.16514      1.05978       1.4705 
           4        0.003        0.125       5.2915       8       0.0261   0.00539715     0.016991      1.53611      1.68774      2.00683 
        11.5        0.003        0.089      10.8496       9       0.0219   0.00357628    0.0217907      1.00501    0.0305501    0.0395331 
        11.5        0.003        0.101      10.1174      10        0.019   0.00237477    0.0237302     0.800667     -1.99186     -2.76381 
        11.5        0.003        0.117      9.31615      11        0.023   0.00251532    0.0252326      0.91152    -0.887589     -1.36486 
        11.5        0.003        0.155      7.91793      12       0.0251   0.00230004    0.0268908     0.933403    -0.778616     -1.75701 
        11.5        0.003        0.244      5.96918      13       0.0262   0.00237988    0.0292376     0.896107     -1.27636     -3.01775 
        11.5        0.003        0.361      4.51176      14       0.0317   0.00290033    0.0320428       0.9893    -0.118208    -0.271571 
        11.5        0.003        0.631      2.59327      15       0.0403   0.00426914    0.0351109      1.14779      1.21549      2.30927 
          44        0.003        0.341      9.22129      16       0.0202   0.00658037    0.0318843      0.63354     -1.77564     -1.87467 
          44        0.003        0.386      8.36598      17       0.0355   0.00451618    0.0334827      1.06025     0.446691     0.593748 
          44        0.003        0.446      7.39288      18       0.0327   0.00378078    0.0347497     0.941014    -0.542147    -0.800934 
          44        0.003        0.592      5.50675      19       0.0387   0.00413963    0.0350208      1.10506     0.888767      2.06477 
