          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
         2.5         0.05       0.0018      37.2342       0      0.02431   0.00909431    0.0208346      1.16681     0.382156     0.719656 
         2.5        0.075       0.0018      37.2342       1     0.036686    0.0112624    0.0238362      1.53909      1.14095      2.24414 
         2.5         0.09       0.0018      37.2342       2     0.028288   0.00938454    0.0257868        1.097     0.266524      0.52087 
         2.5       0.0085       0.0056      21.0696       3     0.022321    0.0094179    0.0167003      1.33656      0.59681      1.14697 
         2.5        0.016       0.0056      21.0696       4     0.020553   0.00525542     0.016978      1.21056     0.680244      1.25657 
         2.5        0.025       0.0056      21.0696       5     0.021216   0.00734392    0.0172175      1.23224     0.544465      1.00447 
         2.5        0.035       0.0056      21.0696       6      0.02431   0.00923236    0.0178902      1.35885     0.695362      1.25187 
         2.5         0.05       0.0056      21.0696       7     0.025857   0.00581259    0.0193698      1.33492      1.11607      2.14349 
         2.5        0.075       0.0056      21.0696       8     0.031603    0.0104509    0.0224681      1.40657      0.87408      1.62348 
         2.5         0.09       0.0056      21.0696       9     0.034034    0.0101815    0.0245181      1.38812     0.934629      1.71446 
         2.5       0.0025       0.0178      11.7452      10     0.021879   0.00659909    0.0163405      1.33894     0.839283      1.62645 
         2.5       0.0085       0.0178      11.7452      11     0.016796   0.00348467    0.0154922      1.08416     0.374146     0.710685 
         2.5        0.016       0.0178      11.7452      12     0.016133   0.00367075      0.01493      1.08058     0.327732     0.594199 
         2.5        0.025       0.0178      11.7452      13     0.015691   0.00376679    0.0151737      1.03409     0.137329     0.258952 
         2.5        0.035       0.0178      11.7452      14     0.020995    0.0120118    0.0159328      1.31772     0.421437     0.738494 
         2.5         0.05       0.0178      11.7452      15     0.025194   0.00504723    0.0175343      1.43684      1.51761      2.88248 
         2.5        0.075       0.0178      11.7452      16     0.027183   0.00666255    0.0207951      1.30718     0.958779      1.74268 
         2.5       0.0009       0.0562      6.47951      17     0.025194   0.00724326    0.0160455      1.57016      1.26304      2.32963 
         2.5       0.0025       0.0562      6.47951      18     0.016354   0.00342209    0.0149467      1.09415      0.41124     0.788907 
         2.5       0.0085       0.0562      6.47951      19     0.014144   0.00316456    0.0127153      1.11236      0.45147      0.86284 
         2.5        0.016       0.0562      6.47951      20     0.015028   0.00403669    0.0123237      1.21944     0.669921      1.27243 
         2.5        0.025       0.0562      6.47951      21     0.013923   0.00486234    0.0126708      1.09882     0.257523     0.454241 
         2.5       0.0003        0.178      3.39779      22     0.034476   0.00689908    0.0203939       1.6905      2.04115      3.95613 
         2.5       0.0009        0.178      3.39779      23     0.022542   0.00339772    0.0181013      1.24533      1.30698      2.69836 
         2.5       0.0025        0.178      3.39779      24     0.015028   0.00299634    0.0151714     0.990551   -0.0478434   -0.0936793 
         2.5       0.0085        0.178      3.39779      25     0.016354   0.00424808    0.0126136      1.29654     0.880491      1.67481 
         2.5        0.016        0.178      3.39779      26     0.025636   0.00891949    0.0119834      2.13929      1.53065      2.73105 
         2.5       0.0003        0.562      1.39585      27     0.047294    0.0155836    0.0482273     0.980647   -0.0598923    -0.108074 
         2.5       0.0009        0.562      1.39585      28     0.038012    0.0202654    0.0393415     0.966207   -0.0656029    -0.117236 
         2.5       0.0025        0.562      1.39585      29      0.02431    0.0150767    0.0325711     0.746367    -0.547938    -0.970923 
         5.1         0.05       0.0018      53.1811      30     0.043979   0.00686453    0.0332715      1.32182      1.55983      4.12659 
         5.1        0.075       0.0018      53.1811      31     0.051272   0.00763178     0.036756      1.39493      1.90204      4.22563 
         5.1        0.016       0.0056      30.0934      32     0.029835   0.00376855    0.0281632      1.05936      0.44363      1.42012 
         5.1        0.025       0.0056      30.0934      33      0.02652   0.00296135    0.0289867     0.914901    -0.832978     -2.72513 
         5.1        0.035       0.0056      30.0934      34     0.029614    0.0032282    0.0293635      1.00853    0.0775845     0.209096 
         5.1         0.05       0.0056      30.0934      35     0.032487   0.00407618    0.0303155      1.07163     0.532719      1.69394 
         5.1        0.075       0.0056      30.0934      36      0.03978   0.00616628    0.0327233      1.21565      1.14441      3.03426 
         5.1         0.09       0.0056      30.0934      37     0.049504    0.0119638    0.0344408      1.43736      1.25906      2.41738 
         5.1       0.0085       0.0178      16.7755      38      0.02652   0.00411231    0.0256428      1.03421     0.213315      1.25742 
         5.1        0.016       0.0178      16.7755      39     0.024531   0.00265989    0.0244001      1.00536    0.0492027     0.204589 
         5.1        0.025       0.0178      16.7755      40     0.024089   0.00261773    0.0239912      1.00408    0.0373724     0.133533 
         5.1        0.035       0.0178      16.7755      41     0.022321   0.00272289    0.0242632     0.919953    -0.713289     -2.00413 
         5.1         0.05       0.0178      16.7755      42     0.029614   0.00354763    0.0253701      1.16728      1.19627      3.30779 
         5.1        0.075       0.0178      16.7755      43     0.034034   0.00508897    0.0280889      1.21165      1.16824      2.58116 
