          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
           4       0.0005        0.227      3.69068       0       0.0175   0.00485555    0.0235482     0.743156     -1.24563     -1.53887 
           4       0.0005        0.323       2.8955       1       0.0302   0.00599635    0.0306225     0.986204   -0.0704541   -0.0897912 
        11.5       0.0005         0.57      2.94541       2       0.0448   0.00999301    0.0503105     0.890469     -0.55144    -0.715861 
        11.5       0.0005        0.699      2.22533       3        0.064    0.0160839    0.0537723       1.1902     0.635899     0.863626 
           4        0.003        0.033      10.8265       4        0.012    0.0018735    0.0168971     0.710183     -2.61386     -3.75405 
           4        0.003        0.041      9.67269       5       0.0132   0.00175242     0.018317     0.720641     -2.91998     -4.13217 
           4        0.003        0.054      8.37103       6       0.0135   0.00148291    0.0187547     0.719818     -3.54353     -5.79923 
           4        0.003        0.085      6.56192       7       0.0188   0.00251428    0.0183173      1.02635     0.191991     0.266397 
           4        0.003        0.125       5.2915       8       0.0261   0.00539715    0.0181891      1.43493      1.46576      1.74288 
        11.5        0.003        0.089      10.8496       9       0.0219   0.00357628    0.0238916     0.916639    -0.556898    -0.720648 
        11.5        0.003        0.101      10.1174      10        0.019   0.00237477    0.0250498     0.758489     -2.54753     -3.53485 
        11.5        0.003        0.117      9.31615      11        0.023   0.00251532    0.0257385     0.893603     -1.08873     -1.67416 
        11.5        0.003        0.155      7.91793      12       0.0251   0.00230004     0.026359     0.952237    -0.547377      -1.2352 
        11.5        0.003        0.244      5.96918      13       0.0262   0.00237988    0.0278843     0.939596    -0.707735     -1.67333 
        11.5        0.003        0.361      4.51176      14       0.0317   0.00290033     0.030889      1.02625     0.279607     0.642369 
        11.5        0.003        0.631      2.59327      15       0.0403   0.00426914    0.0388292      1.03788      0.34451     0.654525 
          44        0.003        0.341      9.22129      16       0.0202   0.00658037    0.0337783     0.598018     -2.06345     -2.17854 
          44        0.003        0.386      8.36598      17       0.0355   0.00451618    0.0352437      1.00727    0.0567453    0.0754268 
          44        0.003        0.446      7.39288      18       0.0327   0.00378078    0.0366224     0.892896     -1.03746     -1.53268 
          44        0.003        0.592      5.50675      19       0.0387   0.00413963    0.0374517      1.03333     0.301548     0.700551 
