          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
         3.5       0.0003         0.17      4.13379       0      0.02481   0.00491601    0.0221522      1.11998     0.540643     0.585636 
         3.5       0.0003         0.27      3.07619       1      0.02327   0.00175916    0.0295361      0.78785     -3.56197     -6.13261 
         3.5       0.0003         0.43      2.15396       2       0.0372   0.00253452    0.0410026      0.90726     -1.50031     -2.59387 
         3.5       0.0003         0.67      1.31297       3       0.0488   0.00357308    0.0617614     0.790138     -3.62751      -6.3857 
           5       0.0003         0.27      3.67675       4      0.03142   0.00282658    0.0320612     0.980002    -0.226831     -0.33274 
           5       0.0003         0.43      2.57447       5      0.04465   0.00328656    0.0437849      1.01976     0.263236     0.427944 
           5       0.0003         0.67      1.56929       6      0.05977   0.00463786    0.0620992     0.962492    -0.502225    -0.837536 
         6.5       0.0003         0.43      2.93535       7      0.05005   0.00440611    0.0452491       1.1061       1.0896      1.60901 
         6.5       0.0003         0.67      1.78927       8      0.06865   0.00562846    0.0617487      1.11176      1.22615      1.87325 
         8.5       0.0003         0.43       3.3567       9      0.03764   0.00738157     0.046274     0.813416     -1.16967     -1.26446 
         8.5       0.0003         0.67      2.04611      10      0.06919   0.00623517    0.0610263      1.13377       1.3093      1.87073 
          12       0.0003         0.67      2.43114      11      0.06314   0.00422849    0.0596574      1.05838     0.823603      2.87135 
         3.5        0.001         0.05      8.15475      12      0.01945   0.00345455    0.0183694      1.05883     0.312815     0.354221 
         3.5        0.001         0.08      6.34429      13      0.02203   0.00172313    0.0197836      1.11355      1.30368      2.30211 
         3.5        0.001         0.13      4.83974      14      0.02087   0.00149421    0.0204226      1.02191     0.299396     0.503844 
         3.5        0.001          0.2      3.74166      15      0.02188   0.00156576    0.0220671     0.991523    -0.119475    -0.200963 
         3.5        0.001         0.32      2.72718      16      0.02622   0.00181847    0.0271414     0.966052    -0.506692    -0.863287 
         3.5        0.001          0.5      1.87083      17      0.02897   0.00233312    0.0371614     0.779572     -3.51092     -4.57726 
