          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0596574      1.05838     0.823603      2.87135 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0318847      1.01209     0.216574     0.662372 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0363462      1.00423    0.0767952     0.217066 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0431491      1.02853     0.493157      1.21628 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0322542      1.27332      1.62118      1.82085 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0374957      1.02412     0.433667      1.32271 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0438302      1.03171     0.550073      1.44567 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0384258      1.01286     0.231693     0.661073 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0445263      1.01693     0.299644     0.807437 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0422197      1.06822      1.01425      2.37683 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154     0.038517      1.34642      1.04117      1.07466 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0448752      1.06161      1.03027      2.81509 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0406756      1.10607      1.54913      3.56888 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0450182      1.04802     0.769691      1.75073 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0385164      1.12783       1.7654      3.72671 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0370414      1.09283      1.20456       2.3102 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0301666     0.899007     -1.95912     -4.87964 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0286745     0.940907     -1.12455     -2.82856 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0276803     0.959167    -0.767712     -1.91733 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0289632     0.949825    -0.941512     -2.31655 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0331776      1.02117     0.366529     0.884767 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0391938      1.06981      1.12896      2.48603 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0308591      1.21974      1.16329      1.27054 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0303597     0.915687     -1.64423     -4.42493 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0292452     0.934172     -1.27449     -3.41815 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0302665     0.959145    -0.784508     -2.06617 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957     0.034093      1.01165     0.209446     0.522729 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023     0.038656      1.04279     0.722215      1.65193 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0318887     0.863628     -2.76347     -6.92461 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0310237     0.965714    -0.643176     -1.77515 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0317896      1.00473     0.088056     0.245191 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0351329       1.0298     0.532566      1.40382 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0379189      1.03563     0.604081      1.42864 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0322294      1.13096     0.544418     0.573756 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0321331     0.982164     -0.33384    -0.880879 
