  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      3.71773     0.902971    -0.656635    -0.811775 
      1        1.231     0.233581      1.08476      1.13481     0.626062     0.544149 
      2        0.122    0.0368464     0.101515       1.2018     0.555969      0.44495 
      3        1.844     0.250681      2.02549     0.910397    -0.723985    -0.892732 
      4        0.579    0.0975229     0.614598     0.942079    -0.365026     -0.32938 
      5        0.051    0.0155917    0.0598505     0.852123     -0.56764    -0.481022 
      6        0.834     0.110403       0.9313     0.895523    -0.881316     -1.05929 
      7        0.287    0.0495786     0.300514      0.95503    -0.272581    -0.252409 
      8        0.021   0.00745357    0.0303741     0.691378     -1.25767     -1.03578 
      9        0.344    0.0487604     0.370346     0.928861    -0.540316    -0.581569 
     10          0.1     0.020759     0.127459     0.784565     -1.32276     -1.09055 
     11        0.016   0.00396906     0.013822      1.15758     0.548748     0.467006 
     12        0.061   0.00991691    0.0791043     0.771134      -1.8256      -1.7301 
     13        0.028   0.00581253    0.0300294     0.932421    -0.349137    -0.289141 
     14        0.003  0.000961484   0.00381546     0.786276    -0.848122    -0.681534 
