          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0685916     0.789383     -1.78033     -3.78353 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0922766     0.708912     -1.99635     -4.10612 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992     0.041762     0.931372     -0.58611     -1.51903 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694     0.044926     0.806748     -2.01582     -5.37657 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0493844     0.738391     -2.70337     -6.10311 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0587019     0.662602     -4.05601     -9.99205 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0798307     0.584124     -4.68886       -10.14 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0951251     0.543642     -4.18944     -8.28904 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396     0.032218     0.919177    -0.563144       -1.954 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0317522     0.849138     -1.54937     -4.54209 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0335983     0.743281     -2.99679     -7.65825 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0375338     0.712451     -2.86339     -6.50977 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0459901     0.672754      -3.6225     -8.37921 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0650249     0.591373     -4.32267     -8.94139 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0787267     0.454763     -5.74977     -11.2807 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0300875     0.998955   -0.0098478   -0.0304536 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0254828     0.962651    -0.365082     -1.12899 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0246478     0.878698     -1.19878     -3.49852 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0258181     0.830309     -1.42051     -3.31446 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0285807     0.904703    -0.263232    -0.464615 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0346367     0.854988     -0.48996    -0.882938 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0461835     0.861347    -0.844826      -1.7063 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334     0.038605     0.990365    -0.081158    -0.387927 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0314835      1.13717      1.05956      3.61398 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0290981      1.14685     0.332574     0.581414 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0290624     0.714806    -0.772097      -1.3758 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778     0.101555     0.781241    -0.896611     -1.64714 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084    0.0510307       0.7752      -1.7432      -3.5706 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914    0.0569196     0.784299     -1.57579     -3.19795 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0670513     0.823996     -1.44873     -3.12966 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724    0.0892361     0.616667     -3.00791     -6.05803 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788    0.0366286     0.947265    -0.295448    -0.829889 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0369549     0.897039    -0.932146     -2.31888 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0387277     0.764672     -2.46097     -5.55067 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178    0.0425986      0.81451     -1.47369     -3.07745 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978    0.0510944     0.795861     -1.79223     -4.00588 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472     0.070453     0.661874     -3.29273     -6.70793 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271    0.0844535     0.620187     -3.04704     -6.05197 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163     0.032668     0.933574    -0.543643     -1.31405 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0286198     0.972964    -0.218847     -0.54877 
        26.5        0.016        0.178      11.0624      40     0.024973   0.00336228    0.0275009     0.908079    -0.751844     -1.84047 
        26.5        0.025        0.178      11.0624      41     0.020553   0.00294525    0.0284765     0.721753     -2.69026     -5.86204 
        26.5        0.035        0.178      11.0624      42       0.0221   0.00447234    0.0311086     0.710414      -2.0143     -4.15949 
        26.5         0.05        0.178      11.0624      43     0.023205    0.0120568    0.0370496     0.626323     -1.14828     -2.02041 
        26.5        0.075        0.178      11.0624      44     0.037349    0.0284064    0.0506998     0.736669    -0.469993    -0.823328 
        26.5       0.0009        0.562      4.54456      45     0.053261    0.0229803    0.0463772      1.14843     0.299553     0.534827 
        26.5       0.0025        0.562      4.54456      46     0.041769   0.00753627     0.038985      1.07141     0.369414      1.79879 
        26.5       0.0085        0.562      4.54456      47      0.03094   0.00390641    0.0317843     0.973435    -0.216144    -0.631921 
        26.5        0.025        0.562      4.54456      48     0.030056    0.0181922    0.0286201      1.05017     0.078927      0.13872 
          46         0.05       0.0178      50.3812      49     0.069173    0.0131403    0.0738865     0.936206    -0.358708    -0.702041 
          46        0.075       0.0178      50.3812      50     0.048178    0.0166424    0.0981855     0.490684     -3.00482     -5.46302 
          46        0.016       0.0562       27.794      51     0.036023   0.00654281    0.0409978     0.878656    -0.760352     -1.56934 
          46        0.025       0.0562       27.794      52     0.038012   0.00665438    0.0433891     0.876072    -0.808056     -1.64486 
          46        0.035       0.0562       27.794      53     0.034918   0.00590858    0.0473928     0.736778     -2.11131     -4.20657 
          46         0.05       0.0562       27.794      54     0.043979   0.00721376    0.0560404     0.784773       -1.672     -3.50085 
          46        0.075       0.0562       27.794      55     0.046852    0.0081196     0.075822     0.617921     -3.56791     -7.28708 
          46         0.09       0.0562       27.794      56     0.059007    0.0103727    0.0901712     0.654389     -3.00446     -5.72954 
          46       0.0085        0.178      14.5749      57     0.026741   0.00407298    0.0313779     0.852224     -1.13845     -2.57775 
          46        0.016        0.178      14.5749      58     0.029393   0.00405964    0.0301239     0.975738    -0.180032    -0.408452 
          46        0.025        0.178      14.5749      59     0.029835   0.00514288    0.0309451     0.964128    -0.215845    -0.437727 
          46        0.035        0.178      14.5749      60     0.028509    0.0045173    0.0334689     0.851806     -1.09798     -2.24865 
          46         0.05        0.178      14.5749      61     0.032708   0.00538064    0.0393181     0.831882     -1.22849     -2.54271 
          46        0.075        0.178      14.5749      62     0.044421   0.00927176    0.0529119     0.839528    -0.915777     -1.79016 
          46         0.09        0.178      14.5749      63     0.039117    0.0108588     0.062805     0.622833     -2.18146     -4.43261 
          46       0.0025        0.562      5.98753      64     0.043316   0.00618707    0.0390675      1.10875     0.686667      1.88721 
          46       0.0085        0.562      5.98753      65     0.029835   0.00417978    0.0318843     0.935727     -0.49029     -1.32165 
          46        0.016        0.562      5.98753      66     0.027404    0.0041772    0.0293793     0.932767    -0.472866      -1.0108 
          46        0.025        0.562      5.98753      67     0.023426   0.00586235    0.0286065     0.818905    -0.883691      -1.7011 
          46        0.035        0.562      5.98753      68     0.029835   0.00835849    0.0290032      1.02868     0.099516      0.17812 
          46         0.05        0.562      5.98753      69      0.02652    0.0120667    0.0309923     0.855697     -0.37063    -0.642462 
          80        0.035       0.0562      36.6536      70     0.050167    0.0173923    0.0513867     0.976264     -0.07013    -0.127965 
          80         0.05       0.0562      36.6536      71     0.051935    0.0143739    0.0605017     0.858406    -0.595988     -1.09967 
          80        0.075       0.0562      36.6536      72     0.047736    0.0206119    0.0808492     0.590432     -1.60651     -2.89031 
          80       0.0085        0.178      19.2208      73     0.045526    0.0127262    0.0332157      1.37061     0.967315      1.80267 
          80        0.016        0.178      19.2208      74     0.029393   0.00713548    0.0323296     0.909166    -0.411555    -0.768535 
          80        0.025        0.178      19.2208      75     0.032266   0.00729811    0.0330878     0.975164    -0.112599    -0.212236 
          80        0.035        0.178      19.2208      76     0.035802   0.00932475    0.0355314      1.00762     0.029018    0.0539846 
          80         0.05        0.178      19.2208      77     0.032266   0.00896821    0.0412988     0.781282      -1.0072     -1.86632 
          80        0.075        0.178      19.2208      78     0.040443    0.0188444    0.0548259     0.737662    -0.763245     -1.36782 
