          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0553   0.00812609    0.0510534      1.08318     0.522588     0.732682 
        11.5       0.0005        0.699      2.22533       1       0.0579   0.00846113    0.0534792      1.08266     0.522486     0.746656 
        11.5        0.003        0.089      10.8496       2       0.0271   0.00238126    0.0288512     0.939303    -0.735407     -2.47805 
        11.5        0.003        0.101      10.1174       3       0.0275   0.00241406    0.0285928     0.961781    -0.452681     -1.55507 
        11.5        0.003        0.117      9.31615       4       0.0268   0.00235505    0.0280895     0.954093    -0.547543     -1.92001 
        11.5        0.003        0.155      7.91793       5       0.0267     0.002342    0.0274158     0.973891    -0.305639     -1.21112 
        11.5        0.003        0.244      5.96918       6        0.027   0.00238121     0.028177     0.958228    -0.494289     -1.96932 
        11.5        0.003        0.361      4.51176       7       0.0313   0.00284761    0.0309795      1.01034     0.112533     0.400646 
          44        0.003        0.341      9.22129       8       0.0377   0.00335382    0.0359213      1.04952     0.530346      1.61541 
          44        0.003        0.386      8.36598       9       0.0389   0.00352212    0.0366216      1.06222     0.646896      2.04791 
          44        0.003        0.446      7.39288      10        0.041    0.0037662     0.037391      1.09652      0.95825      3.37555 
          44        0.003        0.592      5.50675      11       0.0404   0.00400857    0.0376353      1.07346     0.689697      2.99523 
