  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0        3.357     0.549357      2.34017      1.43451      1.85094      2.28825 
      1        1.231     0.233581     0.624104      1.97243      2.59822      2.25827 
      2        0.122    0.0368464    0.0534536      2.28235      1.86033      1.48885 
      3        1.844     0.250681      1.29757      1.42112       2.1798      2.68787 
      4        0.579    0.0975229     0.360287      1.60705      2.24268      2.02368 
      5        0.051    0.0155917    0.0314917      1.61948       1.2512      1.06027 
      6        0.834     0.110403     0.611236      1.36445      2.01774      2.42521 
      7        0.287    0.0495786     0.178572      1.60719      2.18699      2.02515 
      8        0.021   0.00745357    0.0162284      1.29403     0.640176     0.527234 
      9        0.344    0.0487604      0.24391      1.41036       2.0527      2.20942 
     10          0.1     0.020759    0.0767114      1.30359      1.12185     0.924909 
     11        0.016   0.00396906   0.00747735       2.1398      2.14727      1.82742 
     12        0.061   0.00991691    0.0510197      1.19562       1.0064     0.953751 
     13        0.028   0.00581253    0.0179165      1.56281      1.73479      1.43669 
     14        0.003  0.000961484   0.00203445       1.4746      1.00423     0.806979 
