          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0501131      1.08046     0.496877      1.05595 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0648516       1.0087    0.0419443    0.0862717 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0324484       1.1987      1.31856      3.41731 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0349318      1.03756      0.30466     0.812583 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0377766     0.965281    -0.274445    -0.619585 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0434966      0.89423    -0.942152     -2.32101 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0560888     0.831379     -1.33574     -2.88862 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0649703     0.795964     -1.27931     -2.53119 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0260247      1.13792     0.776246      2.69342 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0254588      1.05904       0.4862      1.42533 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0264725     0.943357    -0.520978     -1.33135 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0288822     0.925864    -0.568072     -1.29148 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0340784     0.907907    -0.755398     -1.74731 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687     0.045491      0.84531     -1.14481     -2.36802 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0534928     0.669287     -2.36968     -4.64919 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0256992      1.16953      1.36398      4.21802 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0214155      1.14548      1.19506      3.69564 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0203864      1.06238     0.509854      1.48795 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0209039       1.0255     0.172866     0.403347 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0225279      1.14777     0.321741     0.567886 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0261853      1.13094     0.334465     0.602727 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0321129      1.23876      1.01155      2.04302 
