          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0    0.0478343   0.00811453    0.0478343            1            0            0 
        15.3        0.075       0.0056      52.1233       1    0.0495646    0.0134549    0.0495646            1            0            0 
        15.3        0.016       0.0178       29.056       2    0.0393037   0.00488992    0.0393037            1            0            0 
        15.3        0.025       0.0178       29.056       3    0.0393697   0.00430694    0.0393697            1            0            0 
        15.3        0.035       0.0178       29.056       4    0.0387805     0.004779    0.0387805            1            0            0 
        15.3         0.05       0.0178       29.056       5    0.0384238   0.00488311    0.0384238            1            0            0 
        15.3        0.075       0.0178       29.056       6    0.0388925   0.00708055    0.0388925            1            0            0 
        15.3         0.09       0.0178       29.056       7    0.0395201     0.010362    0.0395201            1            0            0 
        15.3       0.0085       0.0562      16.0294       8    0.0325563   0.00462396    0.0325563            1            0            0 
        15.3        0.016       0.0562      16.0294       9     0.030302   0.00309171     0.030302            1            0            0 
        15.3        0.025       0.0562      16.0294      10    0.0289887   0.00287819    0.0289887            1            0            0 
        15.3        0.035       0.0562      16.0294      11     0.028423   0.00376925     0.028423            1            0            0 
        15.3         0.05       0.0562      16.0294      12    0.0284084   0.00415461    0.0284084            1            0            0 
        15.3        0.075       0.0562      16.0294      13    0.0293928   0.00614687    0.0293928            1            0            0 
        15.3         0.09       0.0562      16.0294      14    0.0302717   0.00746547    0.0302717            1            0            0 
        15.3       0.0025        0.178      8.40566      15    0.0313303   0.00319415    0.0313303            1            0            0 
        15.3       0.0085        0.178      8.40566      16    0.0259865   0.00260699    0.0259865            1            0            0 
        15.3        0.016        0.178      8.40566      17    0.0237102   0.00249406    0.0237102            1            0            0 
        15.3        0.025        0.178      8.40566      18    0.0225819   0.00308417    0.0225819            1            0            0 
        15.3        0.035        0.178      8.40566      19    0.0220974     0.010347    0.0220974            1            0            0 
        15.3         0.05        0.178      8.40566      20    0.0220459    0.0102513    0.0220459            1            0            0 
        15.3       0.0009        0.562      3.45314      21    0.0437659   0.00757963    0.0437659            1            0            0 
        15.3       0.0025        0.562      3.45314      22    0.0364534   0.00458334    0.0364534            1            0            0 
        15.3       0.0085        0.562      3.45314      23    0.0292495   0.00407577    0.0292495            1            0            0 
        15.3        0.016        0.562      3.45314      24    0.0263197    0.0128481    0.0263197            1            0            0 
        15.3        0.035        0.562      3.45314      25    0.0236166     0.010735    0.0236166            1            0            0 
        26.5        0.075       0.0056      68.5977      26    0.0559623    0.0247778    0.0559623            1            0            0 
        26.5        0.025       0.0178      38.2396      27    0.0444184   0.00658084    0.0444184            1            0            0 
        26.5        0.035       0.0178      38.2396      28    0.0455622    0.0077914    0.0455622            1            0            0 
        26.5         0.05       0.0178      38.2396      29    0.0456987   0.00814596    0.0456987            1            0            0 
        26.5        0.075       0.0178      38.2396      30     0.046128    0.0113724     0.046128            1            0            0 
        26.5       0.0085       0.0562      21.0957      31    0.0360139   0.00653788    0.0360139            1            0            0 
        26.5        0.016       0.0562      21.0957      32    0.0351993   0.00408189    0.0351993            1            0            0 
        26.5        0.025       0.0562      21.0957      33    0.0338222   0.00370329    0.0338222            1            0            0 
        26.5        0.035       0.0562      21.0957      34    0.0330779   0.00536178    0.0330779            1            0            0 
        26.5         0.05       0.0562      21.0957      35    0.0328457   0.00581978    0.0328457            1            0            0 
        26.5        0.075       0.0562      21.0957      36    0.0335837   0.00723472    0.0335837            1            0            0 
        26.5         0.09       0.0562      21.0957      37    0.0343531    0.0105271    0.0343531            1            0            0 
        26.5       0.0025        0.178      11.0624      38     0.032643   0.00399163     0.032643            1            0            0 
        26.5       0.0085        0.178      11.0624      39    0.0287533   0.00353567    0.0287533            1            0            0 
        26.5        0.016        0.178      11.0624      40    0.0262377   0.00336228    0.0262377            1            0            0 
        26.5        0.025        0.178      11.0624      41    0.0249201   0.00294525    0.0249201            1            0            0 
        26.5        0.035        0.178      11.0624      42    0.0242951   0.00447234    0.0242951            1            0            0 
        26.5         0.05        0.178      11.0624      43    0.0240976    0.0120568    0.0240976            1            0            0 
        26.5        0.075        0.178      11.0624      44    0.0246424    0.0284064    0.0246424            1            0            0 
        26.5       0.0009        0.562      4.54456      45    0.0435322    0.0229803    0.0435322            1            0            0 
        26.5       0.0025        0.562      4.54456      46    0.0367516   0.00753627    0.0367516            1            0            0 
        26.5       0.0085        0.562      4.54456      47    0.0295114   0.00390641    0.0295114            1            0            0 
        26.5        0.025        0.562      4.54456      48    0.0248139    0.0181922    0.0248139            1            0            0 
          46         0.05       0.0178      50.3812      49    0.0518057    0.0131403    0.0518057            1            0            0 
          46        0.075       0.0178      50.3812      50    0.0533626    0.0166424    0.0533626            1            0            0 
          46        0.016       0.0562       27.794      51    0.0389907   0.00654281    0.0389907            1            0            0 
          46        0.025       0.0562       27.794      52    0.0384415   0.00665438    0.0384415            1            0            0 
          46        0.035       0.0562       27.794      53    0.0377536   0.00590858    0.0377536            1            0            0 
          46         0.05       0.0562       27.794      54     0.037419   0.00721376     0.037419            1            0            0 
          46        0.075       0.0562       27.794      55    0.0379887    0.0081196    0.0379887            1            0            0 
