  iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
      0      3.60218     0.549357      3.60218            1            0            0 
      1      1.05051     0.233581      1.05051            1            0            0 
      2    0.0982984    0.0368464    0.0982984            1            0            0 
      3      1.96201     0.250681      1.96201            1            0            0 
      4      0.59522    0.0975229      0.59522            1            0            0 
      5    0.0579591    0.0155917    0.0579591            1            0            0 
      6     0.901986     0.110403     0.901986            1            0            0 
      7     0.290996    0.0495786     0.290996            1            0            0 
      8    0.0294071   0.00745357    0.0294071            1            0            0 
      9     0.358651    0.0487604     0.358651            1            0            0 
     10     0.123397     0.020759     0.123397            1            0            0 
     11    0.0133814   0.00396906    0.0133814            1            0            0 
     12    0.0765259   0.00991691    0.0765259            1            0            0 
     13    0.0290527   0.00581253    0.0290527            1            0            0 
     14   0.00369306  0.000961484   0.00369306            1            0            0 
