       iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
1.09227e-315      22541.4       372.55      16513.1      1.36506      16.1813      129.725 
6.95315e-310      2242.29      38.8551       2622.6     0.854987     -9.78796     -82.2723 
6.95315e-310      141.231      2.53579      252.627     0.559051     -43.9292     -382.598 
6.95315e-310      5.98997     0.117869      15.6055     0.383838      -81.578     -778.667 
6.95315e-310     0.168871   0.00367809     0.564891     0.298944      -107.67     -1137.54 
6.95315e-310   0.00280006  7.03807e-05   0.00819484     0.341686     -76.6514      -622.47 
6.95315e-310  1.58286e-05  7.85995e-07  4.42981e-06       3.5732      14.5024      32.2842 
6.95315e-310      8866.72      125.102      6414.25      1.38235      19.6037      134.167 
6.95315e-310      1301.87      21.1713      1533.39     0.849017     -10.9354     -86.2618 
6.95315e-310      102.126      1.81468      188.064     0.543038     -47.3572     -408.184 
6.95315e-310      4.81316     0.093472      12.7563     0.377316     -84.9788     -800.511 
6.95315e-310     0.148164   0.00317645     0.509016     0.291079     -113.602     -1181.39 
6.95315e-310   0.00257669  6.54278e-05   0.00775244     0.332371     -79.1063     -633.179 
6.95315e-310  1.54755e-05  7.39627e-07  4.55933e-06      3.39425       14.759      31.2708 
6.95315e-310      2386.59      28.0503      1550.08      1.53966      29.8218       170.02 
6.95315e-310      554.563      8.13584      626.169     0.885645     -8.80128      -62.633 
6.95315e-310      63.1375      1.06487      116.043     0.544086     -49.6826     -406.463 
6.95315e-310      3.75854    0.0709658      10.0955     0.372299     -89.2957     -817.835 
6.95315e-310     0.127705   0.00275754     0.447149     0.285598     -115.844     -1213.37 
6.95315e-310   0.00235097  5.88413e-05   0.00720994     0.326073     -82.5776     -633.432 
6.95315e-310  1.51161e-05  7.38254e-07  4.41814e-06      3.42137      14.4909      31.0108 
6.95315e-310      478.844      5.11378       255.46      1.87444      43.6828      226.289 
6.95315e-310      143.309      1.62028      143.667     0.997509     -0.22089     -1.21143 
6.95315e-310      28.0827     0.395747      48.7394     0.576181     -52.1967     -356.802 
6.95315e-310      2.48449     0.044196      6.61074     0.375827     -93.3624     -805.607 
6.95315e-310     0.107154    0.0022376     0.375289     0.285524     -119.832     -1207.91 
6.95315e-310   0.00224351  5.67668e-05   0.00682925     0.328515     -80.7821     -617.286 
6.95315e-310  1.52562e-05  7.52194e-07  4.34518e-06      3.51106      14.5056      31.4817 
6.95315e-310      84.4368     0.894472      37.1622      2.27212       52.852      271.583 
6.95315e-310      27.9416     0.294423      22.6808      1.23195      17.8682      91.3283 
6.95315e-310      8.06677    0.0933726      11.9799     0.673356     -41.9092     -235.307 
6.95315e-310      1.25677    0.0187545       3.0875     0.407051     -97.6152       -706.6 
6.95315e-310    0.0829979   0.00161195     0.285696     0.290511     -125.748      -1167.4 
6.95315e-310   0.00228343  5.61135e-05   0.00701412     0.325548     -84.3057     -629.168 
6.95315e-310  1.77053e-05  8.85083e-07  5.29661e-06      3.34276      14.0198      33.2139 
6.95315e-310      14.0602     0.153842      4.41088      3.18762      62.7223      332.898 
6.95315e-310      5.29139    0.0558235      3.27124      1.61755      36.1881      185.191 
6.95315e-310      1.66928     0.017936      1.91904      0.86985     -13.9252      -72.578 
6.95315e-310     0.383636   0.00467926     0.765597     0.501094     -81.6285     -482.953 
6.95315e-310    0.0479624  0.000768479     0.138003     0.347547     -117.167     -870.437 
6.95315e-310   0.00192933  4.48651e-05   0.00519027     0.371721     -72.6832     -485.922 
6.95315e-310   2.0628e-05  9.96089e-07  4.66611e-06      4.42081      16.0246       39.553 
6.95315e-310       1.8012    0.0199094      0.36819      4.89203      71.9766      384.669 
6.95315e-310     0.741411    0.0083351     0.275883      2.68742      55.8516      301.497 
6.95315e-310     0.262082   0.00288917     0.185364      1.41388      26.5536      138.346 
6.95315e-310    0.0721034  0.000813289    0.0911977     0.790627     -23.4779      -120.04 
6.95315e-310    0.0131294  0.000177461    0.0242316     0.541829     -62.5616     -334.773 
6.95315e-310   0.00104915  2.21883e-05   0.00168109     0.624088      -28.481     -138.577 
6.95315e-310  1.48109e-05  7.35178e-07  1.41827e-06      10.4429      18.2169      39.2228 
6.95315e-310     0.110942   0.00132373   0.00713117      15.5573      78.4228       320.82 
6.95315e-310    0.0546986  0.000669249   0.00639873      8.54835      72.1702      301.625 
6.95315e-310    0.0222256  0.000253639     0.004426       5.0216      70.1769      258.152 
6.95315e-310   0.00747539  8.65632e-05   0.00254972      2.93185      56.9026      187.417 
6.95315e-310   0.00162754  2.19664e-05  0.000793418       2.0513      37.9726      106.401 
6.95315e-310  0.000180237  3.91102e-06  5.82745e-05       3.0929      31.1843      71.0557 
6.95315e-310  3.53205e-06  2.29271e-07  1.53393e-09      2302.62      15.3989      21.2343 
