          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0553   0.00812609    0.0476437       1.1607     0.942189      1.32097 
        11.5       0.0005        0.699      2.22533       1       0.0579   0.00846113    0.0491329      1.17844      1.03617      1.48073 
        11.5        0.003        0.089      10.8496       2       0.0271   0.00238126    0.0297958     0.909525     -1.13208      -3.8147 
        11.5        0.003        0.101      10.1174       3       0.0275   0.00241406     0.029476     0.932962    -0.818549     -2.81192 
        11.5        0.003        0.117      9.31615       4       0.0268   0.00235505    0.0290778     0.921664    -0.967211     -3.39161 
        11.5        0.003        0.155      7.91793       5       0.0267     0.002342    0.0286566     0.931723    -0.835436     -3.31048 
        11.5        0.003        0.244      5.96918       6        0.027   0.00238121    0.0297626     0.907179     -1.16017      -4.6223 
        11.5        0.003        0.361      4.51176       7       0.0313   0.00284761    0.0322302      0.97114     -0.32665     -1.16295 
          44        0.003        0.341      9.22129       8       0.0377   0.00335382    0.0355399      1.06078     0.644086      1.96186 
          44        0.003        0.386      8.36598       9       0.0389   0.00352212    0.0359242      1.08284     0.844904      2.67476 
          44        0.003        0.446      7.39288      10        0.041    0.0037662    0.0361857      1.13305       1.2783      4.50297 
          44        0.003        0.592      5.50675      11       0.0404   0.00400857    0.0354073      1.14101       1.2455        5.409 
