          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0529019      1.19353      2.42122      8.44116 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0321974      1.00225    0.0407882     0.124747 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0376973      0.96824    -0.597687     -1.68939 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0417419       1.0632      1.05695      2.60677 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0315653      1.30111      1.74788      1.96316 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0382329      1.00437    0.0801172     0.244362 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666     0.042325       1.0684      1.14578      3.01125 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316     0.038174      1.01954     0.349734     0.997871 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0427946      1.05808     0.988077      2.66253 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0389026       1.1593      2.18227      5.11401 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0367901      1.40962      1.17592      1.21373 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0425007      1.12092      1.91511       5.2328 
          25        0.001          0.8          2.5      12      0.04499   0.00278502      0.03718      1.21006      2.80429      6.46052 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087     0.042026      1.12264      1.83502      4.17391 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0354081      1.22684      2.87989      6.07938 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0340918      1.18738      2.23783      4.29188 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0302104     0.897704     -1.98728     -4.94978 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678     0.029586     0.911919     -1.72949     -4.35013 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0289921     0.915768     -1.65871     -4.14257 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0305414     0.900746     -1.96395     -4.83221 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0334727      1.01217     0.212572     0.513131 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0353432      1.18637      2.71777      5.98469 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0301241       1.2495      1.28937      1.40824 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0311074     0.893679     -2.12448     -5.71736 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0304835     0.896222     -2.09432     -5.61688 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0316223     0.918024     -1.64464     -4.33153 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0341577      1.00973     0.175296     0.437499 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0353598         1.14      2.16144      4.94387 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364     0.032054     0.859175     -2.86851      -7.1878 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378     0.032019     0.935696       -1.245     -3.43618 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0328411     0.972562    -0.527434     -1.46864 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0349211      1.03605     0.640312      1.68783 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0352066      1.11542      1.81672       4.2965 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0308604      1.18113     0.721001     0.759856 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0324869     0.971469    -0.539909     -1.42462 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0334752     0.957427    -0.823879     -2.31484 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0352053      1.05268     0.925657      2.50227 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0346034      1.12966      1.99167      4.76583 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0325438     0.962397    -0.680889      -1.6224 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0343799     0.968589    -0.606087      -1.6215 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0358457      1.02969       0.5277      1.34741 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0342105      1.16192      2.33369      5.61038 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0345887     0.955802    -0.829322     -1.91022 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0361671      1.07059      1.19561      2.90814 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0338312      1.13623      1.95529      4.23369 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0363103      1.03993     0.674389      1.42686 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0333215       1.1188      1.69485       3.4093 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0324831      1.08734      1.01371      1.51521 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0351505     0.857456     -2.57714     -4.34328 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0334945     0.885518     -2.03652     -3.47515 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0302686     0.902584     -1.71903     -2.96506 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0268463     0.947989      -0.8764     -1.50724 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0243963     0.887429     -2.00745     -3.40977 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0240013     0.951197    -0.777735     -1.22125 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0256592     0.943133    -0.839635     -1.18685 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0358275       1.0157     0.096235     0.106947 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0359663     0.896951     -1.86694      -3.5677 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281     0.032786      0.93546     -1.13593     -2.19719 
          15         0.01         0.08      13.1339      58      0.02573   0.00156213    0.0289619     0.888408     -2.06891     -3.97209 
          15         0.01         0.13      10.0192      59      0.02381   0.00142064    0.0260252     0.914882     -1.55931     -3.10124 
          15         0.01          0.2      7.74597      60      0.02299   0.00138284    0.0252036      0.91217     -1.60079     -3.14557 
          15         0.01         0.32      5.64579      61      0.02456   0.00148563    0.0264242      0.92945     -1.25485     -2.31402 
          20         0.01        0.032      24.5967      62      0.03445   0.00225325    0.0377898     0.911622      -1.4822     -2.44203 
          20         0.01         0.05      19.4936      63      0.03209   0.00200479    0.0355306     0.903166     -1.71618     -3.19092 
          20         0.01         0.08      15.1658      64      0.02971   0.00185348    0.0314446     0.944837    -0.935838     -1.66809 
          20         0.01         0.13      11.5692      65      0.02658   0.00159878    0.0279595     0.950659     -0.86287     -1.64127 
          20         0.01          0.2      8.94427      66      0.02542   0.00156328    0.0266284     0.954619    -0.773014      -1.4049 
          20         0.01         0.32       6.5192      67      0.02663   0.00158129    0.0273267     0.974505     -0.44058    -0.865352 
          20         0.01          0.5      4.47214      68       0.0287   0.00179576     0.028625      1.00262    0.0417793    0.0718157 
          25         0.01        0.032         27.5      69      0.03306   0.00700256    0.0365024     0.905695    -0.491585    -0.526008 
          25         0.01         0.05      21.7945      70      0.03307   0.00205513    0.0366233     0.902978     -1.72896     -3.33659 
          25         0.01         0.08      16.9558      71      0.03202   0.00196734     0.032875     0.973991    -0.434621    -0.844441 
          25         0.01         0.13      12.9347      72      0.02889   0.00176584    0.0291422     0.991347    -0.142807    -0.271058 
          25         0.01          0.2           10      73      0.02686   0.00160891    0.0275093     0.976397    -0.403565    -0.814425 
          25         0.01         0.32      7.28869      74      0.02769   0.00168773    0.0278483     0.994315   -0.0938122    -0.180817 
          25         0.01          0.5            5      75      0.03028   0.00186216    0.0287041       1.0549     0.846292      1.53808 
          25         0.01          0.8          2.5      76      0.02928   0.00259966    0.0244023      1.19988      1.87627        2.396 
          35         0.01         0.05      25.7876      77      0.03551   0.00235279    0.0373668      0.95031    -0.789175     -1.30721 
          35         0.01         0.08      20.0624      78      0.03243   0.00208765    0.0351058     0.923778     -1.28175     -2.15574 
          35         0.01         0.13      15.3046      79      0.03161   0.00190816    0.0311582       1.0145     0.236793     0.455449 
          35         0.01          0.2      11.8322      80      0.02963   0.00178298    0.0290178       1.0211      0.34335     0.630741 
          35         0.01         0.32      8.62409      81      0.02729   0.00173908    0.0287795     0.948246    -0.856458     -1.68193 
          35         0.01          0.5      5.91608      82      0.03171   0.00195602    0.0291032      1.08957       1.3327        2.315 
          35         0.01          0.8      2.95804      83       0.0284   0.00194224    0.0232693      1.22049      2.64164      4.20022 
